ROI 1,BA,ROI 2,BA.1,Beta,t,p‐FDR
Younger adults,Younger adults,Younger adults,Younger adults,Younger adults,Younger adults,Younger adults
Left inferior frontal gyrus (opercularis),45,Right cerebellum (crus 7b),–,−.01,−3.81,.0446
Right post central gyrus,1/2/3,Right cerebellum (crus 10),–,.01,4.44,.0054
Right post central gyrus,1/2/3,Left accumbens,25,.01,3.77,.0254
Right cerebellum (crus 3),–,Vermis (lobule 10),–,.01,4.07,.0191
Right cerebellum (crus 10),–,Right precentral gyrus,–,.01,3.67,.0350
Right cerebellum (crus 10),–,Right superior parietal lobule,5/7,.01,3.44,.0474
Older adults,Older adults,Older adults,Older adults,Older adults,Older adults,Older adults
Right parietal operculum,40,Vermis (lobule 9),–,.01,4.21,.0121
Right supracalcarine cortex,17,Right putamen,8,.01,3.87,.0372
Left supracalcarine cortex,17,Right putamen,8,.01,4.43,.0056
