Brain Regions,Abbr.,Side,Voxels,MNI Coordinates of Peak Point,MNI Coordinates of Peak Point,MNI Coordinates of Peak Point,Peak Intensity
Brain Regions,Abbr.,Side,Voxels,X,Y,Z,Peak Intensity
NT1 > HCs,,,,,,,
Lingual gyrus,LING,R,381.0,15,−57,9,9.1208
Fusiform gyrus,FFG,L,227.0,−42,−72,−12,6.9931
,,R,88.0,30,−75,−9,5.9668
Postcentral gyrus,PoCG,L,164.0,−51,−12,27,6.6821
Precentral gyrus,PreCG,R,162.0,36,3,33,7.3822
"Inferior frontal gyrus, opercular part",IFGoperc,L,85.0,−48,12,−18,6.4628
Middle frontal gyrus,MFG,L,45.0,−30,63,−6,6.2985
NT1 < HCs,,,,,,,
Caudate nucleus,CAU,L,90.0,−3,9,0,−5.7451
"Temporal pole, middle temporal gyrus",TPOmid,L,57.0,−45,6,−21,−5.3681
,,R,43.0,42,18,−36,−4.5134
Parahippocampal gyrus,PHG,L,26.0,−30,3,−48,−4.3355
Precuneus,PCUN,L,17.0,0,−57,54,−4.9176
Anterior cingulate and paracingulate gyri,ACG,R,15.0,0,45,−18,−4.5432
Amygdala,AMYG,R,13.0,18,0,−18,−4.4282
