Brain Regions,Abrr,Side,Voxels,MNI Coordinates of Peak Point,MNI Coordinates of Peak Point,MNI Coordinates of Peak Point,Peak Intensity
Brain Regions,Abrr,Side,Voxels,X,Y,Z,Peak Intensity
"ROI 1: left temporal pole, middle temporal gyrus (TPOmid.L peak MNI −45 6 −21)","ROI 1: left temporal pole, middle temporal gyrus (TPOmid.L peak MNI −45 6 −21)","ROI 1: left temporal pole, middle temporal gyrus (TPOmid.L peak MNI −45 6 −21)","ROI 1: left temporal pole, middle temporal gyrus (TPOmid.L peak MNI −45 6 −21)","ROI 1: left temporal pole, middle temporal gyrus (TPOmid.L peak MNI −45 6 −21)","ROI 1: left temporal pole, middle temporal gyrus (TPOmid.L peak MNI −45 6 −21)","ROI 1: left temporal pole, middle temporal gyrus (TPOmid.L peak MNI −45 6 −21)",Unnamed: 7_level_2
NT1 > HCs,,,,,,,
Middle temporal gyrus,MTG,L,76,−42,6,−24,6.9776
"Temporal pole, superior temporal gyrus",TPOsup,R,31,33,15,−27,5.0105
NT1 < HCs,,,,,,,
Postcentral gyrus,PoCG,R,754,48,−63,−12,−12.8433
Middle frontal gyrus,MFG,R,298,24,66,6,−6.3546
,,L,242,−39,48,12,−5.7688
"Lenticular nucleus, putamen",PUT,L,87,−21,24,−9,−5.6682
Superior temporal gyrus,STG,L,57,−42,−36,9,−5.1075
"Inferior frontal gyrus, opercular part",IFGoperc,L,33,−48,15,21,−4.8033
"Superior frontal gyrus, medial",SFGmed,L,33,−9,33,30,−5.6702
Supramarginal gyrus,SMG,R,28,54,−45,33,−5.0067
Insula,INS,R,28,51,0,6,−4.2619
Caudate nucleus,CAU,R,24,15,24,−3,−4.6738
"ROI 2: left caudate nucleus (CAU.L, peak MNI −3 9 0)","ROI 2: left caudate nucleus (CAU.L, peak MNI −3 9 0)","ROI 2: left caudate nucleus (CAU.L, peak MNI −3 9 0)","ROI 2: left caudate nucleus (CAU.L, peak MNI −3 9 0)","ROI 2: left caudate nucleus (CAU.L, peak MNI −3 9 0)","ROI 2: left caudate nucleus (CAU.L, peak MNI −3 9 0)","ROI 2: left caudate nucleus (CAU.L, peak MNI −3 9 0)","ROI 2: left caudate nucleus (CAU.L, peak MNI −3 9 0)"
NT1 < HCs,,,,,,,
Fusiform gyrus,FFG,R,17,36,0,−48,−5.2097
"ROI 3: left precuneus (PCUN.L, peak MNI 0 −57 48 54)","ROI 3: left precuneus (PCUN.L, peak MNI 0 −57 48 54)","ROI 3: left precuneus (PCUN.L, peak MNI 0 −57 48 54)","ROI 3: left precuneus (PCUN.L, peak MNI 0 −57 48 54)","ROI 3: left precuneus (PCUN.L, peak MNI 0 −57 48 54)","ROI 3: left precuneus (PCUN.L, peak MNI 0 −57 48 54)","ROI 3: left precuneus (PCUN.L, peak MNI 0 −57 48 54)","ROI 3: left precuneus (PCUN.L, peak MNI 0 −57 48 54)"
NT1 > HCs,,,,,,,
Postcentral gyrus,PoCG,R,19,24,−45,6,4.7254
NT1 < HCs,,,,,,,
Precuneus,PCUN,R,74,−3,−63,39,−5.006
"Superior frontal gyrus, medial",SFGmed,L,30,−15,54,30,−4.8208
Middle temporal gyrus,MTG,L,18,−39,−54,15,−4.5407
