Characteristic,MDD (n = 46),CON (n = 54),statistic,p Value
Gender (male/female),21/25,23/31,χ2 = 0.094,.759
Age (years),28 (19–44),27 (18–52),Z = –0.533,.596
Height (cm),164.5 (149–177),164 (154–178),Z = –0.142,.887
Weight (kg),58.67±1.083,59.83 ± 0.9999,T = 0.7865,.4335
BMI,21.69±0.3944,22.11 ± 0.3427,T = 0.8125,.4185
Right‐handed (%),46 (100),54 (100),—,—
Duration of illness (months),6 (1–51),—,—,—
Education (years),12 (9–18),12 (9–16),Z = –2.261,.087
HAMD score,28 (23–35),2 (0–6),Z = –8.619,<.001???
SDS score,75 (68–83),25 (20–36),Z = –8.599,<.001???
