Col → Row,PVN,SVN,AN,SMN,aDMN,pDMN,SN,DAN,lWMN,rWMN
PVN,–,−3.918**,0.387,1.525,4.309**,–3.106*,−1.689,0.463,0.725,1.660
SVN,2.674,–,0.566,1.109,3.874*,−3.015*,−0.610,−0.440,3.163*,2.013
AN,−0.216,−3.557*,–,2.414,3.104*,−2.171,−1.830,1.848,1.431,−1.180
SMN,1.582,−3.323*,1.677,–,3.716*,−3.845*,−1.409,0.627,1.563,0.884
aDMN,1.795,−3.885*,−0.042,0.755,–,1.513,−0.607,−2.919*,1.008,2.054
pDMN,2.206,−2.621,−0.534,1.198,−0.950,–,−1.044,−2.840*,−0.819,1.992
SN,2.023,−4.093**,1.354,1.545,−0.871,1.092,–,−1.788,0.847,0.941
DAN,2.441,−4.171**,−0.988,0.540,−0.153,−1.367,0.142,–,0.538,3.076*
lWMN,2.690,−3.726*,−0.437,1.412,−2.835*,1.182,0.483,−3.260*,–,1.840
rWMN,2.274,−3.764*,0.510,0.967,−4.043*,2.466,0.451,−4.214*,1.373,–
