RSNs,Core region,Number of voxels,Peak Z value,Peak MNI coordinate
1_PVN,"Cuneus, Precuneus, Calcarine, Lingual","1,757",4.3052,0 −81 36
2_SVN,"Occipital_Sup, Occipital_Mid, Occipital_Inf, Lingual, Cuneus","1,506",3.1053,−12 −99 −6
3_AN,"Temporal_Sup_R, Rolandic_Oper_R, SupraMarginal_R",713,3.1063,63 −21 15
,"Temporal_Sup_L, Rolandic_Oper_L",510,3.0213,−63 −24 15
4_SMN,"Precentral Gyrus, Postcentral Gyrus, Supp_Motor_Area, Frontal_Sup","1,408",2.6442,−33 −21 69
5_aDMN,"Frontal_Sup_Medial, Cingulum_Ant","1,596",4.0204,0 54 15
,"Precuneus, Cingulum_Post",123,2.1558,0 −51 21
6_pDMN,"Precuneus, Cingulum_Post, Cuneus, Cingulum_Mid","1,977",6.2527,0 −72 39
,"Angular_L, Parietal_Inf_L",173,1.7241,−36 −63 54
,"Angular_R, Parietal_Inf_R",70,1.3887,39 −63 51
7_SN,"Frontal_Mid_L, Frontal_Sup_L, Frontal_Inf_Orb_L, Insula_L",408,3.07,−30 57 18
,"Frontal_Mid_R, Frontal_Sup_R, Frontal_Inf_Orb_R, Insula_R",381,2.454,33 54 27
,"Cingulum_Ant, Cingulum_Mid, Supp_Motor_Area",299,2.5278,0 24 33
,Precuneus,122,2.0356,−3 −60 60
8_DAN,"Parietal_Sup, Parietal_Inf, Precuneus, Occipital_Sup","1,881",4.0973,15 −72 57
9_lWMN,"Frontal_Mid_L, Frontal_Inf_L, Frontal_Sup_L",761,2.5129,−42 48 0
,"Parietal_Inf_L, Angular_L, Parietal_Sup_L, Precuneus_L",880,5.039,−33 −66 54
10_rWMN,Temporal_Mid_R,104,2.0751,60 −45 −12
,"Frontal_Mid_R, Frontal_Sup_R",914,3.3787,33 60 −3
,"Parietal_Inf_R, Angular_R, Parietal_Sup_R, SupraMarginal_R",817,5.447,45 −57 54
