Region,MNI coordinates,MNI coordinates,MNI coordinates,Size (voxels),Peak T-value
Region,x,y,z,Size (voxels),Peak T-value
MLP＞HC,,,,,
Decreased,,,,,
Cerebelum_8_L,−9,−69,−45,58,−4.143
ParaHippocampal_L,−21,−6,−24,67,−3.5416
Postcentral_L,45,−54,−9,"10,143",−7.7765
ParaHippocampal_R,18,−12,−21,54,−4.3319
Thalamus_R,15,−24,0,252,−7.4466
Increased,,,,,
Cerebelum_9_L,6,−45,−48,202,4.4306
Temporal_Inf_L,−66,−21,−18,386,5.0615
Cerebelum_Crus1_R,6,−90,−30,1366,5.9227
Temporal_Inf_R,63,−18,–33,219,4.1791
Frontal_Mid_R,42,6,54,4049,8.6136
Frontal_Inf_Orb_L,−45,36,−18,101,4.3397
Caudate_R,15,3,21,276,6.7295
Frontal_Mid_L,–33,63,6,79,3.601
Angular_L,−48,−63,51,595,4.8362
Angular_R,51,−51,39,1048,5.5833
Precuneus_L,−9,−54,36,84,3.1877
Precuneus_R,6,−48,75,123,5.1866
,,,,,
MLP＞MWP,,,,,
Decreased,,,,,
Occipital_Mid_L,−45,−69,12,81,−4.6745
Parietal_Sup_L,−18,−54,51,74,−4.1646
Increased,,,,,
Cerebelum_Crus1_R,30,−66,−39,88,4.6779
Cerebelum_Crus1_L,−45,−75,−39,66,4.8338
Frontal_Sup_R,39,45,−15,420,4.7766
Cingulum_Ant_R,9,39,15,61,3.9362
Precuneus_L,−6,−60,24,195,4.2578
Angular_L,–33,−63,39,56,3.9487
Frontal_Mid_R,42,12,51,261,4.275
,,,,,
MWP＞HC,,,,,
Decreased,,,,,
Lingual_R,21,−42,−12,543,−5.1213
Lingual_L,−39,−57,−9,1097,−5.3382
Postcentral_L,–33,−12,0,2155,−7.1066
Thalamus_R,15,−24,−3,133,−5.7232
Increased,,,,,
Cerebelum_Crus2_R,6,−87,–33,163,4.4188
Cerebelum_Crus1_L,−54,−57,−36,55,4.3309
Frontal_Inf_Orb_L,−54,24,−6,51,3.8039
Frontal_Mid_Orb_R,42,60,−6,119,4.6538
Frontal_Inf_Tri_R,54,18,0,90,4.1505
Angular_R,69,−51,15,575,5.2337
Caudate_R,18,3,24,106,4.462
Frontal_Mid_R,48,21,33,1284,5.5289
Frontal_Sup_Medial_R,0,39,48,59,4.0096
Precuneus_R,6,−63,69,94,4.2273
,,,,,
MRP＞HC,,,,,
Decreased,,,,,
Lingual_R,45,−54,−9,4929,−5.3653
Postcentral_L,−45,−24,66,3427,−7.2762
Increased,,,,,
Cerebelum_Crus1_L,−48,−78,−30,68,3.983
Cerebelum_Crus2_R,21,−87,–33,254,4.3392
Temporal_Mid_L,−66,−21,−18,85,4.486
Frontal_Mid_Orb_R,39,63,−9,131,3.7003
Caudate_R,18,9,18,163,5.3418
Angular_R,45,−36,33,1088,4.2567
Angular_L,−48,−63,51,419,4.5429
Frontal_Mid_R,42,6,54,2715,6.2233
Precuneus_R,3,−57,66,165,4.9727
,,,,,
MRP＞MWP,,,,,
Increased,,,,,
Postcentral_R,30,−39,45,169,4.1229
Frontal_Sup_R,30,−12,48,71,3.9913
Frontal_Sup_Medial_R,12,33,45,51,4.0337
