Unnamed: 0_level_0,University of North Carolina at Chapel Hill Siemens Magnetom Prisma,University of North Carolina at Chapel Hill Siemens Magnetom Prisma,Medical College of Wisconsin GE Premier (pre-software update),Medical College of Wisconsin GE Premier (pre-software update),Medical College of Wisconsin GE Premier (post-software update),Medical College of Wisconsin GE Premier (post-software update)
Unnamed: 0_level_1,n = 38,n = 38,n = 4,n = 4,n = 6,n = 6
Label,T1w,rsfMRI,T1w,rs-fMRI,T1w,rsfMRI
Acquisition time,4m:54s,7m:00s,4m:07s,6m:51s,5m:21s,6m:50s
Plane,Sagittal,Axial,Sagittal,Sagittal,Sagittal,Axial
Slices,176,72,160,72,184,72
Matrix,256x208,104x104,256x204,104x104,256x256,104x104
TE (ms),2.03,33,7.592,33.1,2.016,21.8
TR (ms),2540,802,3.008,802,4.672,800
FOV (cm),256x208,210x210,256x256,210x210,256x256,208x208
Thickness (mm),1.0,2.0,1.0,2.0,1.0,1.5
Volumes,1,512,1,512,1,512
