Items,T2DM group (n = 38),HC group (n = 33),p
Age (years),55.71 ± 6.32,54.01 ± 4.99,.231
Gender (M/F),30/8,26/7,.987
Education (years),13.29 ± 2.50,15.18 ± 1.88,.001???
Disease duration (years),8.13 ± 5.88,–,–
BMI (kg/m2),24.59 ± 2.81,24.61 ± 3.10,.970
Systolic BP (mmHg),126.21 ± 12.82,123.24 ± 8.66,.264
Diastolic BP (mmHg),79.63 ± 9.84,82.18 ± 6.10,.202
HbA1c (%),8.10 ± 1.86,5.67 ± 0.54,<.001???
FBG (mmol/L),9.16 ± 2.90,5.37 ± 0.87,<.001???
TG (mmol/L),2.18 ± 1.28,1.74 ± 1.17,.495
TC (mmol/L),4.67 ± 1.53,4.93 ± 0.92,.396
MMSE,28.00 ± 2.01,28.46 ± 1.60,.301
MoCA,26.50 ± 2.67,27.02 ± 1.48,.311
TMT‐A,74.50 ± 27.04,71.58 ± 26.51,.866
CDT,17.88 ± 6.94,19.36 ± 5.70,.333
T2DM complications,T2DM complications,T2DM complications,T2DM complications
Retinopathy,8,–,–
Peripheral neuropathy,21,–,–
Nephropathy,22,–,–
T2DM therapeutic agents,T2DM therapeutic agents,T2DM therapeutic agents,T2DM therapeutic agents
Dietary restriction,12,–,–
Oral medication,18,–,–
Insulin,2,–,–
Insulin + oral medication,6,–,–
