Seeds,Regions,Peak MNI,Peak MNI.1,Peak MNI.2,Voxels,T
R posterior cerebellum lobe,R cerebellum posterior lobe,24,−84,−48,83,4.77
,R superior frontal gyrus,−12,63,24,233,4.98
L inferior temporal gyrus,L cerebellum posterior lobe,−39,−51,−45,71,4.75
,R fusiform gyrus,−21,−72,−24,55,4.42
,B calcarine,6,−90,21,583,5.46
,R inferior occipital gyrus/R middle occipital gyrus,−15,−99,−12,79,4.64
L superior temporal gyrus,L middle frontal gyrus,−42,54,6,76,4.39
L precentral gyrus,R calcarine/R inferior occipital gyrus,24,−102,−9,66,4.95
L inferior parietal lobule,B calcarine/R superior occipital gyrus,6,−90,21,777,5.74
