Demographic variables,Demographic variables,Demographic variables,Demographic variables,Demographic variables
Discovery set,Discovery set,Discovery set,Discovery set,Discovery set
Unnamed: 0_level_2,Gender (males/females),Age (years),Handedness (right/left/both),Education (years)
MZ,52/72,29.0 ± 3.3,118/6/0,15.1 ± 1.8
DZ,22/28,29.5 ± 3.5,45/5/0,15.2 ± 1.7
Siblings,103/94,28.4 ± 3.8,183/14/0,15.0 ± 1.7
Singletons,37/41,29.1 ± 4.1,67/11/0,14.7 ± 1.8
Replication set,Replication set,Replication set,Replication set,Replication set
,Gender (males/females),Age (years),Handedness (right/left/both),Education (years)
MZ,52/72,29.3 ± 3.4,110/14/0,14.8 ± 1.9
DZ,22/28,29.5 ± 3.5,48/2/0,15.1 ± 1.7
Siblings,103/94,28.1 ± 3.8,178/16/3,15.0 ± 1.7
Singletons,37/41,29.0 ± 3.8,71/7/0,14.8 ± 1.8
