Unnamed: 0,RHZ(n = 30),HC(n = 30),Statistics(P‐value)
Demographic data,Demographic data,Demographic data,Demographic data
"Age (y, mean ± SD)",61.63 ± 6.32,59.07 ± 7.47,.156
Gender (males/females),14/16,16/14,.797
"Education (y, mean ± SD)",9.20 ± 3.24,5.73 ± 4.41,.001*
"Duration from first onset (mo, mean ± SD)",8.92 ± 5.62,0,
Clinical data,Clinical data,Clinical data,Clinical data
Pain VAS(0‐10),0.90 ± 0.99,0,
MPQ sensory,0.67 ± 0.76,0,
MPQ affective,0.13 ± 0.35,0,
PPI,0.53 ± 0.51,0,
ID Pain,0.30 ± 0.47,0,
Psychological data,Psychological data,Psychological data,Psychological data
HAMD,2.67 ± 2.51,1.10 ± 1.58,.006*
HAMA,1.57 ± 1.57,0.67 ± 1.21,.016*
PANAS positive,15.00 ± 2.49,24.23 ± 2.31,＜.001*
PANAS negative,10.70 ± 1.37,10.57 ± 1.19,.689
SF‐36,127.56 ± 5.85,136.3 ± 3.0,＜.001*
