Variable,ESRD patients,Healthy controls,p-value
Unnamed: 0_level_1,(n = 32),(n = 45),Unnamed: 3_level_1
Age (years),44.4 ± 15.0,38.7 ± 13.1,0.080???
Sex (male/female),17/15,23/22,0.862???
Education (years),12.3 ± 2.7,12.9 ± 3.4,0.404???
Dialysis duration (month),12.3 ± 12.2,–,–
creatinine (μmol/L),642.3 ± 332.6,–,–
Urea (mmol/L),22.0 ± 9.0,–,–
Ca2+ (mmol/L),2.1 ± 0.3,–,–
K+ (mmol/L),4.5 ± 0.8,–,–
Na+ (mmo/L),139.3 ± 3.2,–,–
Hemoglobin (g/L),92.7 ± 18.9,–,–
Hematocrit,29.2 ± 6.0,–,–
Cholesterol (mmol/L),4.8 ± 2.2,–,–
