HAMD item,IDS item
Mood,Feeling sad
Guilt,Self criticism and blame
Suicide,Thoughts of death or suicide
Early insomnia,Early insomnia
Mid insomnia,Mid insomnia
Late insomnia,Late insomnia
Anhedonia,Capacity for pleasure or enjoyment (excluding sex)
Retardation,Psychomotor retardation
Agitation,Psychomotor agitation
Anxiety psychological,Feeling anxious or tense
Anxiety physiological,Other bodily symptoms/sympathetic arousal
Somatic gastro-internal,Gastrointestinal complaints
Fatigue/aches/low energy,Energy level/fatiguability
Genital,Interest in sex
Hypochondria,Somatic complains
Weight loss,Weight loss
Insight,Sensitivity
