Seed,Cluster,size p-FDR,Peak × y z
Controls vs Patients,Controls vs Patients,Controls vs Patients,Controls vs Patients
right ACC,"Cluster 1: Left Inferior Frontal Gyrus, Left Middle Frontal Gyrus",0.031078,−44 + 30 + 18
Left ventral granular insula,Cluster 1: Right temporal Pole,0.039540,+36 + 26–34
Patients vs Controls,Patients vs Controls,Patients vs Controls,Patients vs Controls
Left ACC,Cluster 1: Right Supramarginal Gyrus (anterior and posterior division),0.024972,+62–38 + 38
Left Supracallosal ACC,"Cluster 1: Right Supramarginal Gyrus (anterior division), Right Parietal Operculum Cortex",0.005598,+54–22 + 28
,"Cluster 2: Left Supramarginal Gyrus (anterior division), Left Postcentral Gyrus",0.012348,−64–26 + 30
Left insula,"Cluster 1: Left Parietal Operculum Cortex, Left Supramarginal Gyrus (anterior division)",0.005161,−48–36 + 30
Left dorsal granular insula,Cluster 1: Right Lateral Occipital Cortex,0.021595,+30–82 + 38
Right dorsal granular insula,Cluster 1: Left Lateral Occipital Cortex (superior and inferior division),0.000105,−42–80 + 02
,"Cluster 2: Left Lateral Occipital Cortex (superior division), Precuneus Cortex",0.000451,−20–68 + 30
Right ventral granular insula,Cluster 1: right Thalamus,0.005592,+04–12 + 22
Right dorsal dysgranular insula,"Cluster 1: Right Precentral Gyrus, Inferior Frontal Gyrus",0.001218,+50 + 04 + 24
