Participants with right hemisphere stroke (N = 11),Participants with right hemisphere stroke (N = 11),Participants with right hemisphere stroke (N = 11),Participants with right hemisphere stroke (N = 11),Participants with right hemisphere stroke (N = 11),Participants with right hemisphere stroke (N = 11)
Seed: Left Inferior Frontal Gyrus (IFG),Cluster (X Y Z),Cluster (X Y Z).1,Cluster (X Y Z).2,Size (voxels),p FDR
Left Inferior Frontal Gyrus (IFG),−54,24,−2,2980,p < .0001
Left & Right Superior Frontal Gyrus (SFG),10,30,48,860,p < .0001
Left Middle Temporal Gyrus (MTG),−48,−20,−10,401,p < .0001
Right Frontal Pole (FP),30,52,−6,205,p < .0001
Left Inferior Temporal Gyrus (ITG),−50,−2,−34,96,p = .024
Left Angular Gyrus (AG),−62,−60,30,90,p = .026
Right Middle Temporal Gyrus (MTG),60,−18,4,80,p = .035
Left Frontal Pole (FP),−10,58,26,70,p = .049
,,,,,
Participants with left hemisphere stroke (N = 21),Participants with left hemisphere stroke (N = 21),Participants with left hemisphere stroke (N = 21),Participants with left hemisphere stroke (N = 21),Participants with left hemisphere stroke (N = 21),Participants with left hemisphere stroke (N = 21)
Seed: Right Inferior Frontal Gyrus (IFG),Cluster (X Y Z),Cluster (X Y Z),Cluster (X Y Z),Size (voxels),p FDR
Right Inferior Frontal Gyrus (IFG),54,26,6,"12,842",p < .0001
Left Inferior Frontal Gyrus (IFG),−52,10,−6,4399,p < .0001
Medial Superior Frontal Gyrus (SFG),4,26,64,4036,p < .0001
Left Middle Temporal Gyrus (MTG),−60,−48,24,1497,p < .0001
Left Precentral Gyrus (M1),−46,−4,46,496,p < .0001
Cingulate Gyrus,−2,−30,46,377,p < .0001
Medial Occipital Lobe,4,−96,0,129,p = .023
Thalamus,4,−8,−4,109,p = .037
