Demographics by participant group,AIS (N = 17),PVI (N = 15),TDC (N = 34)
Mean|Median age (SD) [range] years,14.0|14.2 (4.1) [6.6–19.0],12.8|11.4 (4.0) [6.7–19.7],13.2|13.1 (3.6) [6.5–19.0]
Sex [%],,,
Male,N = 10 [58.8%],N = 10 [66.7%],N = 19 [55.8]
Female,N = 7 [41.2%],N = 5 [33.3%],N = 15 [41.7%]
Side of stroke (MRI) [%],,,
Left,N = 12 [70.6%],N = 9 [60.0%],–
Right,N = 5 [29.4%],N = 6 [40.0%],–
Stroke volume mean (SD) [range],,,
GM/WM Lesion volume (cc),64.6 (75.0) [2.9–311.5],–,–
GM/WM Relative lesion volume (%),5.9 (8.7) [0.22–36.8],–,–
Ventricle asymmetry (cc),-,6.2 (11.9) [−2.6–38.9],–
,,,
