Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,MNI coordinates,MNI coordinates,MNI coordinates,Unnamed: 7_level_0,Unnamed: 8_level_0
Connected regions,BA,Hem,Peak areas,X,Y,Z,t-Value,Voxels
"Seed point (12, −3, −30)",,,,,,,,
,10,L&R,MFGa,18,54,6,4.8661,209.0
,24,R,ACCa,21,30,−12,4.0674,184.0
,−,L,CAUb,−12,12,−6,3.938,57.0
"Seed point (−15, −66, 12)",,,,,,,,
,31,L&R,MCCa,0,−30,36,4.7667,562.0
,39,L,ANGa,−33,−63,30,4.2585,153.0
,19,R,IOGa,30,−87,−9,−4.137,74.0
"Seed point (−18, −6, 57)",,,,,,,,
,−,−,Brainstema,9,−9,−18,5.7835,125.0
,40,R,IPLa,39,−48,42,4.6097,110.0
,6,R,SFGa,21,0,51,4.4795,99.0
