Unnamed: 0,b,SE,95% CI,95% CI.1,t,p,B,SE.1,95% CI.2,95% CI.3,t.1,P
,,,Right,,,,,,Left,,,
Model 3,,,,,,,,,,,,
Age (10 y),−2.97,2.75,−8.37,2.43,−1.08,0.281,−2.98,2.74,−8.36,2.39,−1.09,0.276
Race (Other),−1.39,5.04,−11.28,8.50,−0.28,0.783,−1.12,5.02,−10.97,8.73,−0.22,0.823
Race (Black),−2.39,4.25,−10.72,5.93,−0.56,0.573,−1.90,4.23,−10.20,6.40,−0.45,0.654
Ethnicity (Hispanic),−1.39,3.95,−9.14,6.35,−0.35,0.724,−1.72,3.94,−9.44,6.00,−0.44,0.662
Married household,−7.74,3.58,−14.78,−0.71,−2.16,0.031,−8.39,3.57,−15.38,−1.39,−2.35,0.019
Parents employed,0.96,3.16,−5.25,7.17,0.30,0.762,1.45,3.16,−4.75,7.64,0.46,0.647
Parent education years (1–21),0.20,0.72,−1.21,1.62,0.28,0.779,0.10,0.72,−1.31,1.51,0.14,0.891
Family income,0.73,0.9,−1.03,2.49,0.82,0.415,0.84,0.89,−0.91,2.60,0.94,0.345
BMI baseline,0.90,0.36,0.20,1.59,2.51,0.012,0.90,0.36,0.20,1.60,2.53,0.012
Accumbens area,−23.93,9.48,−42.52,−5.33,−2.52,0.012,−32.31,8.55,−49.07,−15.55,−3.78,< 0.001
Model 4,,,,,,,,,,,,
Age (10 y),−0.06,0.1,−0.26,0.14,−0.54,0.586,−0.05,0.1,−0.25,0.15,−0.49,0.626
Race (Other),−0.06,0.2,−0.46,0.34,−0.30,0.765,−0.06,0.2,−0.46,0.34,−0.29,0.771
Race (Black),0.18,0.17,−0.15,0.50,1.07,0.284,0.19,0.17,−0.13,0.52,1.15,0.250
Ethnicity (Hispanic),0.19,0.14,−0.09,0.47,1.32,0.189,0.18,0.14,−0.10,0.47,1.27,0.203
Married household,−0.07,0.14,−0.34,0.20,−0.50,0.614,−0.07,0.14,−0.34,0.19,−0.54,0.586
Parents employed,0.11,0.12,−0.11,0.34,0.98,0.325,0.10,0.12,−0.12,0.33,0.89,0.372
Parent education years (1–21),−0.02,0.03,−0.07,0.03,−0.86,0.391,−0.02,0.03,−0.07,0.03,−0.85,0.396
Family income,−0.05,0.03,−0.11,0.02,−1.37,0.170,−0.05,0.03,−0.11,0.02,−1.41,0.159
BMI baseline,0.98,0.01,0.96,1.01,70.80,< 0.001,0.98,0.01,0.96,1.01,70.85,< 0.001
Accumbens area,−0.41,0.34,−1.08,0.26,−1.21,0.227,0.15,0.3,−0.44,0.73,0.49,0.621
