RSN,Brain region,BA,Peak t-score,"MNI coordinates (x, y, z)",Cluster size (voxels)
VN1,R-MOG,19,4.6526,"45, −75, 3",109
AN1,L-MTG,–,–4.4648,"−42, −36, 0",64
,L-STG,42,4.1556,"−63, −18, 9",108
DMN1,L-CAU,24,–4.4368,"6, 21, −3",96
,R-ACC,–,–4.367,"9, 42, 12",95
SN,L-INS,–,4.8092,"−42, −18, 15",42
,L-MOG,–,–4.3905,"−33, −81, 21",37
DAN,L-IPG,–,4.9254,"−54, −21, 36",244
DMN2,R-SFGmed,–,5.5267,"12, 48, 15",187
,R-MCC,32,5.2192,"3, 21, 30",95
,L-MCC,–,–3.9378,"−6, −24, 39",60
AN2,L-PoCG,–,4.6387,"−36, −18, 45",186
VN3,R-CAL,17,3.3681,"15, −81, 6",74
DMN3,L-PCNU,–,–4.1643,"−6, −57, 18",52
,L-ANG,–,4.3362,"−57, −54, 21",40
,R-PCNU,7,4.1531,"6, −63, 42",59
SMN,L-PoCG,4,4.8034,"−42, −15, 54",221
,R-PreCG,6,4.4296,"24, −18, 57",244
ECN,R-MTG,21,–5.1214,"66, −27, 0",47
,L-MFG,6,4.2445,"−24, 12, 60",84
,L-IPG,–,3.4223,"−45, −39, 48",32
,L-SFGmed,–,3.5085,"0, 36, 45",41
