Unnamed: 0_level_0,Patients implanted
Unnamed: 0_level_1,n = 14
Male sex,10 (71%)
Age (years),52 ± 7
Diabetes mellitus,2 (14%)
Cerebrovascular disease,1 (7%)
Current smoker,2 (14%)
Body mass index (kg/m2),28 ± 5
Estimated GFR (ml/min/1.73m2),81 ± 12
Heart rate (bpm),79 ± 10
Blood pressure,Blood pressure
Office systolic blood pressure (mmHg),178 ± 25
Office diastolic blood pressure (mmHg),107 ± 17
24-h ambulatory systolic blood pressure (mmHg),156 ± 20
24-h ambulatory diastolic blood pressure (mmHg),95 ± 15
Medication use,Medication use
Number of antihypertensive drugs,3 [3–4]
DDD,5 [3–5]
A+C+D regimen,11 (79%)
A+C+D+MRA regimen,2 (14%)
Escape medication,9 (64%)
Side of mobius HD implantation,Side of mobius HD implantation
Right side,8 (57%)
