Anatomical structure,x,y,z,Z-score,Cluster size,Cluster no
Whole-brain analysis,Whole-brain analysis,Whole-brain analysis,Whole-brain analysis,Whole-brain analysis,Whole-brain analysis,Whole-brain analysis
Right parietal lobe – supramarginal gyrus,64,−40,32,4.16,84,1
Left temporal lobe – superior gyrus,−54,−18,−4,4.13,89,2
Right temporal pole – uncus,30,4,−34,4.54,94,3
Right frontal lobe – post central gyrus,44,−24,36,4.3,95,4
Right frontal pole,20,70,−6,4.65,100,5
Right lateral occipital cortex,52,−68,4,3.95,102,6
Left parietal lobe – inferior lobule,−64,−44,26,5.3,127,7
Left temporal pole – superior temporal gyrus,−34,6,−34,4.71,191,8
Right frontal gyrus,30,2,42,4.83,206,9
Right middle temporal gyrus,50,−40,−2,5.16,241,10
Left frontal gyrus,−32,2,34,5.29,346,11
"Precuneus, cuneal, superior occipital lobe",−14,−68,32,4.61,445,12
"Cingulate gyrus anterior, precentral gyrus",−2,−24,64,5.17,594,13
"Cingulate gyrus posterior, precuneus",−4,−42,44,5.34,674,14
Left cerebellum anterior,−10,−50,−10,6.14,"2,014",15
Left thalamus,−6,−16,0,6.1,"2,014",15
"Brainstem, midbrain, pons, insula, left cerebellum anterior lobe",6,−26,−28,5.21,"2,014",15
Brainstem-specific analysis,Brainstem-specific analysis,Brainstem-specific analysis,Brainstem-specific analysis,Brainstem-specific analysis,Brainstem-specific analysis,Brainstem-specific analysis
Right midbrain,14,−20,−10,4.68,457,1
Right cerebellum anterior lobe – lingual,2,−46,−17,4.67,832,2
Left cerebellum anterior lobe,−12,−50,−21,4.19,"1,062",3
