Unnamed: 0_level_0,"Healthy subjects (N = 134, 62 females)","Healthy subjects (N = 134, 62 females)","Healthy subjects (N = 134, 62 females)","Healthy subjects (N = 134, 62 females)","Healthy subjects (N = 134, 62 females)","Healthy subjects (N = 134, 62 females)","Healthy subjects (N = 134, 62 females)","Healthy subjects (N = 134, 62 females)"
Unnamed: 0_level_1,Mean,SD,Median,Min,Max,VIF,Correlation with age (r),Gender difference (t)
Age,24.0,4.0,25.0,20.0,40.0,–,–,−0.464
PosUrg,1.9,0.5,1.9,1.0,3.0,2.5,0.07,0.13
NegUrg,2.2,0.5,2.2,1.2,3.3,2.3,−0.01,2.91???
Premed,2.0,0.4,2.0,1.1,3.0,1.3,−0.02,−0.74
Persev,2.0,0.5,1.9,1.0,3.2,1.36,0.04,−1.54
SenSeek,2.8,0.6,2.8,1.4,4.0,1.13,−0.18,−3.32???
BIS,20.5,3.1,21.0,12.0,28.0,1.15,−0.0.1,4.7???
BAS,37.2,3.7,37.0,28.0,47.0,1.22,0.0.1,0.45
