Anatomic area,MNI coordinates,MNI coordinates,MNI coordinates,Cluster size,T-score
Unnamed: 0_level_1,x,y,z,Unnamed: 4_level_1,Unnamed: 5_level_1
Left thalamus,-15.0,-24.0,-51.0,87.0,-3.7806
Left middle frontal gyrus,-6.0,69.0,6.0,230.0,3.6814
Left lingual gyrus,12.0,-90.0,9.0,404.0,4.9704
Left middle temporal gyrus,-57.0,-30.0,-21.0,55.0,2.9477
Left superior temporal gyrus,-54.0,-48.0,15.0,76.0,3.3748
Left medial occipital,-30.0,-81.0,36.0,64.0,3.3309
Left cingulate gyrus,-21.0,-27.0,54.0,301.0,4.033
Right middle frontal gyrus,24.0,36.0,36.0,117.0,3.2447
Right inferior frontal gyrus,33.0,6.0,60.0,130.0,3.5226
Right superior parietal lobule,42.0,-60.0,33.0,133.0,3.2135
,,,,,
