(a),HC (SD),SZ (SD),Unnamed: 3,P
Women (%),41.0 (n = 18),37.0 (n = 17),Χ 2 = 0.15,.70
Age (years),38.8 (13.6),38.0 (11.5),Z = −0.03,.98
Education (years),14.1 (2.7),13.5 (3.1),T(88) = −1.10,.28
TONI,110.6 (10.1),97.2 (11.3),Z = −4.97,<.001
FAB,17.6 (0.7),16.0 (2.8),Z = −4.17,<.001
DOI (years),,12.1 (12.4),,
CPZ (mg/d),,405.9 (345.7),,
PANSS total,,72.7 (17.3),,
PANSS pos,,18.1 (6.5),,
PANSS neg,,18.4 (5.1),,
AIMS,,2.4 (3.9),,
BFCRS,,1.8 (3.9),,
(b),HC (SD),SZ (SD),,P
Total TULIA score of right hand,225.67 (±7.63),204.03 (±28.28),Z = −4.98,<.001
