Group,Unnamed: 1_level_0,Healthy Controls & Patients Combined,Healthy Controls & Patients Combined,Healthy Controls & Patients Combined,Healthy Controls & Patients Combined,Healthy Controls & Patients Combined,Healthy Controls & Patients Combined,Healthy Controls & Patients Combined,Healthy Controls & Patients Combined,Healthy Controls Only,Healthy Controls Only,Healthy Controls Only,Healthy Controls Only,Healthy Controls Only,Healthy Controls Only,Healthy Controls Only,Healthy Controls Only,Patients With Schizophrenia Only,Patients With Schizophrenia Only,Patients With Schizophrenia Only,Patients With Schizophrenia Only,Patients With Schizophrenia Only,Patients With Schizophrenia Only,Patients With Schizophrenia Only,Patients With Schizophrenia Only
ROI-pair,Unnamed: 1_level_1,L Precent - L IPL,L Precent - R IPL,L Precent - L SPL,L Precent - R SPL,R Precent - L IPL,R Precent - L SPL,R Precent - R SPL,L STG - R STG,L Precent - L IPL,L Precent - R IPL,L Precent - L SPL,L Precent - R SPL,R Precent - L IPL,R Precent - L SPL,R Precent - R SPL,L STG - R STG,L Precent - L IPL,L Precent - R IPL,L Precent - L SPL,L Precent - R SPL,R Precent - L IPL,R Precent - L SPL,R Precent - R SPL,L STG - R STG
T,r,−.25,−.25,−.27,−.12,−.27,−.33,−.20,0.43,−.18,−.14,−.28,−.15,−.13,−.39,−.18,0.46,−.08,−.01,.00,.22,−.13,.01,.09,0.29
P,r,−.27,−.22,−.31,−.18,−.29,−.36,−.24,0.39,−.16,−.01,−.29,−.23,.07,−.37,−.18,0.37,−.12,−.02,−.03,.24,−.18,.01,.08,0.28
I,r,−.18,−.21,−.19,−.07,−.21,−.26,−.17,0.33,-.12,−.17,−.18,−.08,−.14,−.33,−.19,0.35,−.05,−.05,.00,.13,−.09,−.02,.06,0.22
P ML,r,-.29,−.20,−.33,−.17,−.30,−.35,−.23,0.27,−.22,−.03,−.33,−.19,−.13,−.38,−.15,0.25,−.08,.05,−.02,.28,−.16,.00,.09,0.07
P IT,r,−.14,−.04,−.14,−.07,−.18,−.19,−.11,0.34,−.12,−.02,−.19,−.10,−.01,−.26,−.07,0.23,−.04,.10,.08,.12,−.14,.08,.11,0.37
P TR,r,−.22,−.25,−.27,−.16,−.23,−.30,−.22,0.37,.01,.03,−.09,−.10,.03,−.14,−.08,0.41,−.28,−.27,−.26,−.01,−.25,−.24,−.15,0.24
I ML,r,−.12,−.10,−.15,−.05,−.16,−.20,−.14,0.21,.01,.06,−.11,.04,−.03,−.20,−.03,0.2,−.01,.01,.02,.11,−.04,.02,.02,0.12
I IT,r,−.16,−.12,−.09,−.06,−.21,−.20,−.15,0.28,.14,.14,.18,0.12,.14,.01,.07,0.21,−.09,.04,.01,.10,−.13,−.05,.03,0.13
I TR,r,−.15,−.23,−.21,−.11,−.17,−.24,−.16,0.33,−.15,−.25,−.23,−.19,−.17,−.33,−.27,0.27,−.04,−.12,−.06,.11,−.08,−.05,.05,0.29
