FC at Assessment 1,ASRS A1,A-ning A1,BNT A1,NVOA A1
IFG L–IFG R,−0.61,0.79,0.63,0.21
IFG L–aINS L,−0.59,0.59,0.39,−0.11
IFG L–aINS R,−0.29,0.49,0.32,0.13
IFG L–vPMC L,0.25,−0.31,−0.32,−0.21
IFG L–vPMC R,−0.46,0.49,0.39,−0.11
IFG R –aINS L,−0.06,−0.13,−0.12,0.07
IFG R –aINS R,0.14,−0.43,−0.10,0.33
IFG R–vPMC L,−0.19,0.14,0.01,−0.43
IFG R–vPMC R,0.21,−0.23,−0.23,0.26
aINS L–aINS R,−0.59,0.31,0.43,0.24
aINS L–vPMC L,−0.08,−0.14,−0.01,0.13
aINS L–vPMC R,−0.21,0.09,0.01,−0.06
aINS R–vPMC L,−0.11,0.36,0.05,−0.08
aINS R–vPMC R,−0.23,0.01,0.12,0.26
vPMC L–vPMC R,−0.49,0.34,0.39,−0.14
