FC at Assessment 1,ASRS recovery,A-ning recovery,BNT recovery,NVOA recovery
IFG L–IFG R,0.92*,0.56,0.26,0.55
IFG L–aINS L,0.81,0.45,0.29,0.54
IFG L–vPMC R,0.66,0.25,0.02,0.17
IFG L–aINS R,0.55,0.45,0.16,0.47
vPMC L–vPMC R,0.53,0.18,−0.26,0.18
aINS R–vPMC L,0.43,0.01,0.39,−0.05
aINS L–aINS R,0.36,0.08,0.23,0.35
IFG R–vPMC L,0.21,−0.18,0.04,−0.35
aINS L–vPMC R,0.20,−0.28,0.18,−0.08
aINS R–vPMC R,0.02,−0.15,0.24,0.13
IFG R–aINS L,−0.04,−0.10,0.24,0.22
IFG R–vPMC R,−0.21,−0.21,0.21,0.10
aINS L–vPMC L,−0.24,−0.32,0.21,−0.22
IFG L–vPMC L,−0.40,−0.38,−0.11,−0.42
IFG R–aINS R,−0.46,−0.25,−0.26,0.07
