FC at Assessment 2,ASRS A2,A-ning A2,BNT A2,NVOA A2
IFG L–IFG R,−0.29,0.22,−0.02,−0.02
IFG L–aINS L,−0.40,−0.27,−0.47,−0.50
IFG L–aINS R,−0.80,0.67,0.43,0.39
IFG L–vPMC L,0.07,−0.18,−0.38,−0.44
IFG L–vPMC R,0.06,0.05,−0.02,−0.08
IFG R –aINS L,−0.23,−0.22,−0.45,−0.46
IFG R –aINS R,0.01,0.13,0.17,0.20
IFG R–vPMC L,−0.13,0.47,0.30,0.23
IFG R–vPMC R,0.23,0.12,0.32,0.34
aINS L–aINS R,−0.88*,0.43,0.27,0.22
aINS L–vPMC L,−0.49,0.43,0.20,0.10
aINS L–vPMC R,0.25,−0.05,0.15,0.14
aINS R–vPMC L,−0.26,0.53,0.40,0.33
aINS R–vPMC R,−0.10,0.47,0.57,0.55
vPMC L–vPMC R,−0.79,0.76,0.67,0.64
