Unnamed: 0_level_0,Unnamed: 1_level_0,Functional connectivity strength (Fisher's Z),Functional connectivity strength (Fisher's Z),Functional connectivity strength (Fisher's Z),Functional connectivity strength (Fisher's Z),Unnamed: 6_level_0
Unnamed: 0_level_1,Assessment 1,Assessment 1,Assessment 2,Assessment 2,Unnamed: 5_level_1,Unnamed: 6_level_1
Unnamed: 0_level_2,Mean (SD),Median,Mean (SD),Median,???Within group diff.,Effect size (r)
Interhemispheric homotopic,,,,,,
IFG L–IFG R,0.130 (0.174),0.132,0.134 (0.160),0.127,0.594,0.14
aINS L–aINS R,0.187 (0.280),0.17,0.178 (0.316),0.094,0.859,0.05
vPMC L–vPMC R,0.079 (0.154),0.039,0.123 (0.257),0.178,0.515,0.17
Intrahemispheric LEFT,,,,,,
IFG L–aINS L,0.211 (0.200),0.202,0.394 (0.174),0.376,0.11,0.41
IFG L–vPMC L,0.109 (0.180),0.183,0.179 (0.154),0.159,0.515,0.17
aINS L–vPMC L,−0.007 (0.223),0.025,0.024 (0.164),0.105,0.767,0.08
Intrahemispheric RIGHT,,,,,,
IFG R–aINS R,0.571 (0.232),0.541,0.496 (0.205),0.498,0.26,0.29
IFG R–vPMC R,0.264 (0.212),0.188,0.296 (0.167),0.331,0.515,0.16
aINS R–vPMC R,0.321 (0.191),0.354,0.216 (0.254),0.237,0.214,0.32
Interhemispheric heterotopic,,,,,,
IFG L–aINS R,0.164 (0.279),0.007,0.213 (0.230),0.281,0.859,0.05
IFG L–vPMC R,0.023 (0.204),0.046,0.097 (0.141),0.082,0.314,0.26
IFG R–aINS L,0.150 (0.204),0.144,0.096 (0.226),0.029,0.594,0.14
IFG R–vPMC L,0.072 (0.152),0.135,0.044 (0.125),0.071,0.953,0.02
aINS L–vPMC R,0.050 (0.192),0.06,−0.037 (0.219),0.0,0.441,0.2
aINS R–vPMC L,0.077 (0.194),0.034,0.054 (0.211),0.116,0.374,0.23
