No.,Seed's Name,MNI Coordinates
1.0,FP r (Frontal Pole Right),"(26, 52, 8)"
2.0,FP l (Frontal Pole Left),"(−25, 53, 8)"
3.0,IC r (Insular Cortex Right),"(37, 3, 0)"
4.0,IC l (Insular Cortex Left),"(−36, 1, 0)"
5.0,SFG r (Superior Frontal Gyrus Right),"(15, 18, 57)"
6.0,SFG l (Superior Frontal Gyrus Left),"(−14, 19, 56)"
7.0,MidFG r (Middle Frontal Gyrus Right),"(39, 19, 43)"
8.0,MidFG l (Middle Frontal Gyrus Left),"(−38, 18, 42)"
9.0,"IFG tri r (Inferior Frontal Gyrus, pars triangularis Right)","(52, 28, 8)"
10.0,"IFG tri l (Inferior Frontal Gyrus, pars triangularis Left)","(−50, 28, 9)"
11.0,"IFG oper r (Inferior Frontal Gyrus, pars opercularis Right)","(52, 15, 16)"
12.0,"IFG oper l (Inferior Frontal Gyrus, pars opercularis Left)","(−51, 15, 15)"
13.0,PreCG r (Precentral Gyrus Right),"(35, −11, 50)"
14.0,PreCG l (Precentral Gyrus Left),"(−34, −12, 49)"
15.0,TP r (Temporal Pole Right),"(41, 13, −30)"
16.0,TP l (Temporal Pole Left),"(−40, 11, −30)"
17.0,"aSTG r (Superior Temporal Gyrus, anterior division Right)","(58, −1, −10)"
18.0,"aSTG l (Superior Temporal Gyrus, anterior division Left)","(−56, −4, −8)"
19.0,"pSTG r (Superior Temporal Gyrus, posterior division Right)","(61, −24, 2)"
20.0,"pSTG l (Superior Temporal Gyrus, posterior division Left)","(−62, −29, 4)"
21.0,"aMTG r (Middle Temporal Gyrus, anterior division Right)","(58, −2, −25)"
22.0,"aMTG l (Middle Temporal Gyrus, anterior division Left)","(−57, −4, −22)"
23.0,"pMTG r (Middle Temporal Gyrus, posterior division Right)","(61, −23, −12)"
24.0,"pMTG l (Middle Temporal Gyrus, posterior division Left)","(−61, −27, −11)"
25.0,"toMTG r (Middle Temporal Gyrus, temporooccipital part Right)","(58, −49, 2)"
26.0,"toMTG l (Middle Temporal Gyrus, temporooccipital part Left)","(−58, −53, 1)"
27.0,"aITG r (Inferior Temporal Gyrus, anterior division Right)","(46, −2, −41)"
28.0,"aITG l (Inferior Temporal Gyrus, anterior division Left)","(−48, −5, −39)"
29.0,"pITG r (Inferior Temporal Gyrus, posterior division Right)","(53, −23, −28)"
30.0,"pITG l (Inferior Temporal Gyrus, posterior division Left)","(−53, −28, −26)"
31.0,"toITG r (Inferior Temporal Gyrus, temporooccipital part Right)","(54, −50, −17)"
32.0,"toITG l (Inferior Temporal Gyrus, temporooccipital part Left)","(−52, −53, −17)"
33.0,PostCG r (Postcentral Gyrus Right),"(38, −26, 53)"
34.0,PostCG l (Postcentral Gyrus Left),"(−38, −28, 52)"
35.0,SPL r (Superior Parietal Lobule Right),"(29, −48, 59)"
36.0,SPL l (Superior Parietal Lobule Left),"(−29, −49, 57)"
37.0,"aSMG r (Supramarginal Gyrus, anterior division Right)","(58, −27, 38)"
38.0,"aSMG l (Supramarginal Gyrus, anterior division Left)","(−57, −33, 37)"
39.0,"pSMG r (Supramarginal Gyrus, posterior division Right)","(55, −40, 34)"
40.0,"pSMG l (Supramarginal Gyrus, posterior division Left)","(−55, −46, 33)"
