Unnamed: 0,"MNIx, y, z",Voxels,T Values,Side,Brain Region
Checker > Washers,,,,,
CL1,"36, 12, 39",20.0,5.1965,R,middle frontal gyrus
Checker < Washers,,,,,
CL1,"48, −81, −9",12.0,−4.1982,R,inferior occipital gyrus
CL2,"54, −39, 27",13.0,−4.5237,R,supramarginal gyrus
CL3,"24, −60, 45",11.0,−5.0666,R,angular gyrus
CL4,"−30, 3, 51",15.0,−5.0536,L,middle frontal gyrus
Checkers > HCs,,,,,
CL1,"0, −75, −24",16.0,4.7627,R,vermis
CL2,"9, 66, −12",10.0,4.4357,R,medial orbital frontal gyrus
CL3,"15, −48, 15",13.0,5.0067,R,precuneus
CL4,"−39, −69, 24",19.0,5.8556,L,middle occipital gyrus
CL5,"−9, 36, 39",41.0,4.9037,L,medial superior frontal gyrus
CL6,"−42, −60, 36",13.0,4.2971,L,angular gyrus
CL7,"−12, −60, 42",13.0,4.9284,L,precuneus
CL8,"21, 18, 42",18.0,5.2585,R,superior frontal gyrus
CL9,"−27, −45, 48",11.0,4.9786,L,inferior parietal gyrus
CL10,"−9, 6, 51",33.0,5.1527,L,supplementary motor area
Checkers < HCs,,,,,
CL1,"−48, −27, −3",12.0,−4.885,L,middle temporal gyrus
CL2,"−48, −75, −6",19.0,−4.1681,L,middle occipital gyrus
CL3,"45, −69, 6",15.0,−4.0421,R,middle temporal gyrus
CL4,"51, −21, 54",17.0,−4.7041,R,postcentral gyrus
CL5,"39, −12, 57",16.0,−4.4824,R,precentral gyrus
Washers > HCs,,,,,
CL1,"−45, 15, 18",14.0,5.8462,L,inferior frontal gyrus
CL2,"51, −30, 33",10.0,4.1435,R,supramarginal gyrus
CL3,"−27, −51, 39",10.0,4.6492,L,inferior parietal gyrus
CL4,"−12, −60, 39",39.0,5.1497,L,precuneus
CL5,"6, −45, 42",25.0,4.1893,R,precuneus
CL6,"18, −63, 48",23.0,5.6277,R,precuneus
CL7,"−30, 3, 51",19.0,5.3576,L,middle frontal gyrus
Washers < HCs,,,,,
CL1,"57, −6, 24",21.0,−4.2078,R,postcentral gyrus
CL2,"−51, −6, 24",10.0,−4.2393,L,postcentral gyrus
