Unnamed: 0,"MNIx, y, z",Voxels,F,Side,Brain Region
CL1,"−48, 15, 18",12,17.3371,L,inferior frontal gyrus
CL2,"−36, −69, 24",14,19.83114,L,middle occipital gyrus
CL3,"60, −6, 21",11,10.8797,R,postcentral gyrus
CL4,"36, 12, 39",10,14.4576,R,middle frontal gyrus
CL5,"18, −63, 48",17,16.4027,R,precuneus
CL6,"−9, 36, 39",22,12.6563,L,medial superior frontal gyrus
CL7,"−12, −60, 39",24,18.7764,L,precuneus
CL8,"21, 18, 42",11,13.9385,R,superior frontal gyrus
CL9,"−27, −45, 48",12,13.076,L,inferior parietal gyrus
CL10,"−30, 3, 51",11,16.1396,L,middle frontal gyrus
CL11,"−9, 6, 51",13,14.7148,L,supplementary motor area
CL12,"39, −12, 57",11,11.5019,R,precentral gyrus
