Unnamed: 0,Scanner 1: HRRT (n = 17),Scanner 2: PET/CT (n = 19),"t(df), p"
Age,Age,Age,Age
Min-Max,33–64,22–60,–
Mean ± SD,48.41 ± 9.60,39.31 ± 12.83,"2.39(34), 0.023"
Sex,Sex,Sex,Sex
"n, Female (%)",7 (41),6 (32),"0.062(1), 0.801a"
BMI,BMI,BMI,BMI
Min-Max,21–39,21–33,–
Mean ± SD,27.19 ± 5.09,28.24 ± 3.28,"0.74(34), 0.463"
IQ,IQ,IQ,IQ
Min-Max,79–139,97–129,–
Mean ± SD,122.35 ± 15.80,110.05 ± 11.58,"2.64(34), 0.011"
Race,Race,Race,Race
"n, White (%)",11 (65),5 (26),"7.16(3), 0.067a"
"n, Black/AA (%)",6 (35),10 (53),–
"n, Asian (%)",0 (0),2 (11),–
"n, Other (%)",0 (0),2 (11),–
