No.,Functional connectivity,No. of frequency
1,Temporal_Pole_Sup_R----Temporal_Pole_Mid_R,55
2,ParaHippocampal_L---- Temporal_Pole_Sup_L,53
3,Cingulum_Post_L----Angular_L,51
4,Supp_Motor_Area_L----Frontal_Med_Orb_R,51
5,Frontal_Sup_R----Cingulum_Ant_R,51
6,Precentral_L----Supp_Motor_Area_L,2
7,Precentral_R----Postcentral_R,1
8,Frontal_Sup_L----Rectus_L,1
9,Frontal_Med_Orb_L----Frontal_Med_Orb_R,1
10,Parietal_Inf_R----Angular_R,1
11,Angular_R----Cingulum_Post_L,1
12,Thalamus_R ----Paracentral_Lobule_L,1
