No.,ROI index,ROI abbr.,ROI name,References
1,84,TPOsup.R,Temporal_Pole_Sup_R,"Salvatore et al., ???"
2,83,TPOsup.L,Temporal_Pole_Sup_L,"Salvatore et al., ???"
3,88,TPOmid.R,Temporal_Pole_Mid_R,"Salvatore et al., ???"
4,39,PHG.L,ParaHippocampal_L,"Matsuda, ???"
5,35,PCG.L,Cingulum_Post_L,"Scheff et al., ???"
6,65,ANG.L,Angular_L,"Xu et al., ???"
7,19,SMA.L,Supp_Motor_Area_L,"Rose et al., ???"
8,26,ORBsupmed.R,Frontal_Med_Orb_R,"Loewenstein et al., ???"
9,4,SFGdor.R,Frontal_Sup_R,"Salvatore et al., ???"
10,32,ACG.R,Cingulum_Ant_R,"Salvatore et al., ???"
