Regions of interest,Contrast,Brain region,k,MNI,MNI,MNI,Z value
Regions of interest,Contrast,Brain region,k,x,y,z,Z value
Primary visual network,LBP > HC,S1,128.0,46,−30,50,5.3
Primary visual network,,M1,55.0,24,−12,54,3.89
Primary visual network,HC > LBP,Left AG/LOC,180.0,−48,−58,42,4.79
Dorsal visual network (L),LBP > HC,Right MCC/ACC,53.0,6,20,30,4.29
Dorsal visual network (L),,Bilateral SMA,128.0,6,4,60,4.4
Dorsal visual network (L),,Right IFG,83.0,54,10,12,5.23
Dorsal visual network (L),,Left PreCG / TP,91.0,−60,8,−2,4.48
Dorsal visual network (L),HC > LBP,Left AG/LOC,171.0,−48,−58,46,4.65
Dorsal visual network (R),LBP > HC,Right IGF,109.0,54,10,12,5.11
Dorsal visual network (R),,Bilateral PCUN,51.0,−2,−62,60,3.84
Dorsal visual network (R),HC > LBP,,,,,,
Ventral visual network,,,,,,,
