Network metrics of rs-fMRI,AgCC,HC,T values,P values
Global efficiency,0.132 ± 0.001,0.132 ± 0.002,−0.189,0.852
Local efficiency,0.154 ± 0.002,0.154 ± 0.004,−0.866,0.399
Clustering coefficient,0.109 ± 0.004,0.109 ± 0.008,−1.009,0.328
Characteristic path length,0.305 ± 0.003,0.306 ± 0.004,−1.224,0.904
Small world,0.324 ± 0.011,0.324 ± 0.010,−5.000,0.623
Network metrics of DTI,Network metrics of DTI,Network metrics of DTI,Network metrics of DTI,Network metrics of DTI
Global efficiency,0.073 ± 0.002,0.077 ± 0.003,−3.901,0.001???
Local efficiency,0.121 ± 0.005,0.121 ± 0.005,−0.385,0.705
Clustering coefficient,0.086 ± 0.004,0.086 ± 0.002,0.574,0.574
Characteristic path length,0.564 ± 0.022,0.535 ± 0.021,4.358,0.0005???
Small world,0.952 ± 0.054,0.879 ± 0.068,1.758,0.031???
