No.,Name,Hemisphere,Description,Location
0,A4ul_L,Left,Upper limb region,Precentral gyrus
1,A4ll_L,Left,Lower limb region,Paracentral lobe
2,A4tl_L,Left,Tongue/larynx region,Precentral gyrus
3,A4t_L,Left,Trunk region,Precentral gyrus
4,A1/2/3ulhf_L,Left,Upper limb/hand/face region,Postcentral gyrus
5,A1/2/3ll_L,Left,Lower limb region,Paracentral lobe
6,A1/2/3tonla_L,Left,Tongue/larynx region,Postcentral gyrus
7,A1/2/3tru_L,Left,Trunk region,Postcentral gyrus
8,A2_L,Left,S2 sensory,Postcentral gyrus
9,A6m_L,Left,Medial area 6,Superior frontal gyrus
10,A7r_L,Left,Rostral area 7,Superior parietal lobe
11,A4ul_R,Right,Upper limb region,Precentral gyrus
12,A4ll_R,Right,Lower limb region,Paracentral lobe
13,A4tl_R,Right,Tongue/larynx region,Precentral gyrus
14,A4t_R,Right,Trunk region,Precentral gyrus
15,A1/2/3ulhf_R,Right,Upper limb/hand/face region,Postcentral gyrus
16,A1/2/3ll_R,Right,Lower limb region,Paracentral lobe
17,A1/2/3tonla_R,Right,Tongue/larynx region,Postcentral gyrus
18,A1/2/3tru_R,Right,Trunk region,Postcentral gyrus
19,A2_R,Right,S2 sensory,Postcentral gyrus
20,A6m_R,Right,Medial area 6,Superior frontal gyrus
21,A7r_R,Right,Rostral area 7,Superior parietal lobe
