Characteristics,Pre-M1 group,Post-M1 group,Control group,Total,p
Number of patients,9,6,6,21,
"Age (years, Mean±SD)",44±12,38±13,43±13,42±12,
Sex (Male/Female),5/4,2/4,5/1,12/9,
"Tumour Volume (mean, cm3)",33.4±26.9,36.0±15.5,9.5±5.7,27.3±22.2,
Tumour invasion (mainly),,,,,
postcentral gyrus or midline,0,6,6,12,***
SMA or PMA,9,0,0,9,***
precentral gyrus,9,0,0,9,***
Tumour side (L/R),5/4,3/3,2/4,10/11,
Surgery,6,5,5,16,
Extent of resection,,,,,
Total resection,4,3,4,11,
Subtotal resection,2,2,1,5,
Partial resection,0,0,0,0,
Pathological report,,,,,
WHO I glioma,1,0,0,1,
WHO II glioma,2,2,2,6,
WHO III glioma,0,1,2,3,
WHO IV glioma,3,2,1,6,
Post-op muscle powera,,,,,
V,1,5,5,11,**
IV,3,0,0,3,
III,2,0,0,2,
Follow-upb,,,,,
muscle power improvement,2,0,0,2,
Recurrence or progression,1,0,0,1,
Mortality,0,0,0,0,
