Unnamed: 0,MNI coord.,cluster size (mm3),z-value: max (mean)
(a) MCC (Area 33),(a) MCC (Area 33),(a) MCC (Area 33),(a) MCC (Area 33)
R/L Cerebellar lobule VI,0 −78 4,1728,3.52 (2.40)
L PCC,−3 −48 37,2376,−3.44 (−2.17)
R MTG,60 −33 1,1242,−4.16 (−2.51)
,,,
(b) PCC,(b) PCC,(b) PCC,(b) PCC
L Cerebellar lobules V-VI; Calcarine Gyrus; Cuneus; R Precuneus???,−6 −66 −5,"14,823",3.68 (2.19)
,,,
(c) L Thalamus (Temporal),(c) L Thalamus (Temporal),(c) L Thalamus (Temporal),(c) L Thalamus (Temporal)
n.a.,n.a.,n.a.,n.a.
,,,
(d) ACC (Area s24/s23),(d) ACC (Area s24/s23),(d) ACC (Area s24/s23),(d) ACC (Area s24/s23)
L Cerebellar lobules VI-VIIa crus I; Fusiform Gyrus; Lingual Gyrus,−27 −60 −2,3213,−4.44 (−2.0
R Cerebellar lobules V-VIIa crus I; Fusiform Gyrus; Lingual Gyrus,33 –63 −14,2349,−3.02 (−2.12)
,,,
"(e) L IPL, BA39-BA19 (FG2)","(e) L IPL, BA39-BA19 (FG2)","(e) L IPL, BA39-BA19 (FG2)","(e) L IPL, BA39-BA19 (FG2)"
"L/R Cerebellar lobule VIIIa, VIIb???",−3 –66 −23,1134,3.66 (2.31)
L Rectal Gyrus (Fo1); SMG; ACC,−6 42 25,2106,−2.75 (−2.05)
R Rectal Gyrus (Fp2/Fo1); ACC (s32),9 69 1,"11,313",−3.85 (−2.06)
R Temporal Pole; STG; MTG,51 0 –2,2700,−3.57 (−2.21)
