Unnamed: 0,MNI coord.,Cluster size (mm3),z-value: max (mean)
(a) MCC (Area 33),(a) MCC (Area 33),(a) MCC (Area 33),(a) MCC (Area 33)
L Precuneus; L MCC; R PCC,−6 −57 40,3888,3.81 (2.31)
L Hippocampus (CA1–3); HATA; Amygdala,−24 −15 −11,1890,−3.93 (−2.20)
,,,
(b) PCC,(b) PCC,(b) PCC,(b) PCC
R Cerebellar lobule VIIa crus I,27 –69 -14,4806,3.29 (2.12)
L Cerebellar lobule VIIa crus,−30 − 60 -14,2700,3.25 (2.08)
L/R Cerebellar lobule VI; Fusiform Gyrus,-6 -75 -14,1998,3.70 (2.38)
,,,
(c) L Thalamus (Temporal),(c) L Thalamus (Temporal),(c) L Thalamus (Temporal),(c) L Thalamus (Temporal)
n.a.,n.a.,n.a.,n.a.
,,,
(d) ACC (Area s24/s23),(d) ACC (Area s24/s23),(d) ACC (Area s24/s23),(d) ACC (Area s24/s23)
n.a.,n.a.,n.a.,n.a.
,,,
"(e) L IPL, BA39-BA19 (FG2)","(e) L IPL, BA39-BA19 (FG2)","(e) L IPL, BA39-BA19 (FG2)","(e) L IPL, BA39-BA19 (FG2)"
R PCG (4a/4p/2/3b); SMG (PF/PFt); MFG,48 –15 55,2727,−4.31 (−2.23)
R/L Lingual Gyrus; Calcarine Gyrus; Cerebellum; L Cuneus,−15 -66 19,"25,569",−3.90 (−2.26)
R SFG (Fp1); SMG (Fp1/Fp2),9 69 16,2484,−3.64 (−2.26)
