Unnamed: 0,Site #1,Site #2,Site #3,Site #4,Site #5,Site #6,Site #7
N,20,20,16,23,20,20,20
Collection ID,Sub-101 to 120,Sub-201 to 220,Sub-301 to 316,Sub-401 to 423,Sub-501 to 520,Sub-601 to 620,Sub-701 to 720
CONN ID,S1 to S20,S21 to S40,S41 to S56,S57 to S79,S80 to S99,S100 to S119,S120 to S139
MRI scanner,Philips Achieva,Philips Achieva,Philips Achieva DS,/,Philips Achieva (5) Siemens Trio Tim (14) Siemens Prisma Fit (1),Siemens Magnetom Trio,Siemens Verio
Head coil,/,/,32 channels,/,/,12 channels,/
Flip angle [°],75,90,90,/,90 (17) 80 (3),90,80
Phase encoding direction,j-,j-,j-,/,j- (15) / (5),/,j-
Parallel acquisition technique,SENSE,SENSE,SENSE,/,/ (15) no_stimulation SENSE (5),/,/
Voxel dimension [mm3],2.7×2.7×3 (19) 2.3×2.3×3 (1),3x3x3.8,1.6×1.6×3.1,2.7×2.7×3,3×3×4 (15) 1.9×1.9×4 (5),4×4×4,3×3×3.5
Field of view [slices],96×96×47 (19) 112×112×47 (1),80×80×38,128×128×45,96×96×47,80×80×35 (10) 128×128×34 (5) 80×80×34 (4) 80×80×39 (1),64×64×32,64×64×39
Repetition time [s],2.5,2,2.5,2.5,2,2.5,2.5
Acquired EPI runs,1,1,1,1,1,1 (8) 2 (12),1
Scans acquired,156 (18) 128 (2),150,162,123,144,[240–724],198
Acquisition duration [s],390 (18) 300 (2),300,405,307.5,288,"[600–1,810]",495
Slice timings available,Yes,Yes,Yes,/,Yes (13) / (5) wrong (2),/,Yes
Task stimuli,White cross over black screen,Eyes closed,White cross over black screen,/,Eyes open,/,Eyes closed
Task instructions,/,Rest,Relax and think of nothing particular,/,/,/,/
Number of properties present in json file(s),31,29,32,2,15 (5) 20 (13) 21 (2),8 (8) 8 each run (12),14
