Unnamed: 0_level_0,Huntington's disease patients,Huntington's disease patients,Huntington's disease patients,Healthy controls,Healthy controls,Healthy controls,Main findings,Analysis
Reference,Sample (% F),Age (y ± SD),Education (y ± SD),Sample (% F),Age (y ± SD),Education (y ± SD),Main findings,Analysis
Visual network,Visual network,Visual network,Visual network,Visual network,Visual network,Visual network,Visual network,Visual network
"Wolf, Sambataro, Vasic, Baldas, et al., ???",20 (30%),49 ± 9,13 ± 2,20 (35%),47 ± 9,14 ± 2,Both decreased and increased FC,ICA
"Coppen, Grond, Hafkemeijer, Barkey Wolf, & Roos, ???",20 (45%),52 ± 11,16 ± 2,18 (61%),46 ± 11,17 ± 2,Decreased FC,Network of interest
"Dumas et al., ???",20 (75%),47 ± 11,1–5???,28 (54%),49 ± 9,2–5???,Decreased FC,Network of interest
"Werner et al., ???",17 (59%),45 ± 10,3 ± 1???,19 (58%)???,48 ± 10,4 ± 1???,Increased FC,ICA
"Poudel et al., ???",23 (43%),56 ± 9,Na,18 (78%),46 ± 14,Na,No differences,ICA
Sensory‐motor network,Sensory‐motor network,Sensory‐motor network,Sensory‐motor network,Sensory‐motor network,Sensory‐motor network,Sensory‐motor network,Sensory‐motor network,Sensory‐motor network
"Wolf, Sambataro, Vasic, Depping, et al., ???",20 (30%),49 ± 9,13 ± 2,20 (35%),47 ± 9,14 ± 2,Increased FC,ICA
"Werner et al., ???",17 (59%),45 ± 10,3 ± 1???,19 (58%)???,48 ± 10,4 ± 1???,Increased FC,ICA
"Sánchez‐Castañeda et al., ???",10 (40%),39 ± 19,Na,10 (40%),38 ± 16,Na,Increased FC,Seed
"Müller et al., ???",34 (29%),47 (32–65),13 (9–20),32 (38%),48 (25–62),14 (11–19),Decreased FC,Seed
"Poudel et al., ???",23 (43%),56 ± 9,Na,18 (78%),46 ± 14,Na,No differences,ICA
"Dumas et al., ???",20 (75%),47 ± 11,1–5???,28 (54%),49 ± 9,2–5???,No differences,Network of interest
Cerebellum network,Cerebellum network,Cerebellum network,Cerebellum network,Cerebellum network,Cerebellum network,Cerebellum network,Cerebellum network,Cerebellum network
"Werner et al., ???",17 (59%),45 ± 10,3 ± 1???,19 (58%)???,48 ± 10,4 ± 1???,Increased FC,ICA
"Poudel et al., ???",23 (43%),56 ± 9,Na,18 (78%),46 ± 14,Na,No differences,ICA
"Wolf et al., ???",20 (30%),49 ± 9,13 ± 2,20 (35%),47 ± 9,14 ± 2,No differences,Seed
Auditory network,Auditory network,Auditory network,Auditory network,Auditory network,Auditory network,Auditory network,Auditory network,Auditory network
"Poudel et al., ???",23 (43%),56 ± 9,Na,18 (78%),46 ± 14,Na,No differences,ICA
"Dumas et al., ???",20 (75%),47 ± 11,1–5???,28 (54%),49 ± 9,2–5???,No differences,Network of interest
Executive network,Executive network,Executive network,Executive network,Executive network,Executive network,Executive network,Executive network,Executive network
"Werner et al., ???",17 (59%),45 ± 10,3 ± 1???,19 (58%)???,48 ± 10,4 ± 1???,Frontal increased FC,ICA
"Wolf, Sambataro, Vasic, Depping, et al., ???",20 (30%),49 ± 9,13 ± 2,20 (35%),47 ± 9,14 ± 2,Posterior decreased FC; anterior increased FC,ICA
"Poudel et al., ???",23 (43%),56 ± 9,Na,18 (78%),46 ± 14,Na,Posterior/subcortical decreased FC,ICA
"Dumas et al., ???",20 (75%),47 ± 11,1–5???,28 (54%),49 ± 9,2–5???,Posterior/subcortical decreased FC,Network of interest
Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network,Frontoparietal network
"Wolf, Sambataro, Vasic, Depping, et al., ???",20 (30%),49 ± 9,13 ± 2,20 (35%),47 ± 9,14 ± 2,Both decreased and increased FC,ICA
"Werner et al., ???",17 (59%),45 ± 10,3 ± 1???,19 (58%)???,48 ± 10,4 ± 1???,Increased FC,ICA
"Poudel et al., ???",23 (43%),56 ± 9,Na,18 (78%),46 ± 14,Na,Increased FC???,ICA
"Dumas et al., ???",20 (75%),47 ± 11,1–5???,28 (54%),49 ± 9,2–5???,No differences,Network of interest
Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network,Dorsal attention network
"Poudel et al., ???",23 (43%),56 ± 9,Na,18 (78%),46 ± 14,Na,Decreased FC,ICA
"Werner et al., ???",17 (59%),45 ± 10,3 ± 1???,19 (58%)???,48 ± 10,4 ± 1???,Increased FC,ICA
"Dumas et al., ???",20 (75%),47 ± 11,1–5???,28 (54%),49 ± 9,2–5???,No differences,Network of interest
Default mode network,Default mode network,Default mode network,Default mode network,Default mode network,Default mode network,Default mode network,Default mode network,Default mode network
"Quarantelli et al., ???",26 (38%),44 ± 12,Na,22 (50%),39 ± 14,Na,Both decreased and increased FC,Seed
"Dumas et al., ???",20 (75%),47 ± 11,1–5???,28 (54%),49 ± 9,2–5???,Decreased FC,Network of interest
"Sánchez‐Castañeda et al., ???",10 (40%),39 ± 19,Na,10 (40%),38 ± 16,Na,Increased FC,Seed
"Poudel et al., ???",23 (43%),56 ± 9,Na,18 (78%),46 ± 14,Na,No differences,ICA
Subcortical network,Subcortical network,Subcortical network,Subcortical network,Subcortical network,Subcortical network,Subcortical network,Subcortical network,Subcortical network
"Wolf, Sambataro, Vasic, Depping, et al., ???",20 (30%),49 ± 9,13 ± 2,20 (35%),47 ± 9,14 ± 2,Both decreased and increased FC,ICA
"Werner et al., ???",17 (59%),45 ± 10,3 ± 1???,19 (58%)???,48 ± 10,4 ± 1???,Increased FC,ICA
"Müller et al., ???",34 (29%),47 (32–65),13 (9–20),32 (38%),48 (25–62),14 (11–19),Decreased FC,Seed
Regional properties and graph measures,Regional properties and graph measures,Regional properties and graph measures,Regional properties and graph measures,Regional properties and graph measures,Regional properties and graph measures,Regional properties and graph measures,Regional properties and graph measures,Regional properties and graph measures
"Gargouri et al., ???",18 (Na %),51 ± 7,Na,18 (50%),44 ± 10,Na,"Widespread changes in sensorimotor, associativeAnd limbic networks",Graph measures
"Liu et al., ???",10 (90%),45 ± 9,10 ± 3,20 (90%),45 ± 8,Na,Decreased PCC/parietal and increased temporo‐frontal ALFF,ALFF
"Sarappa et al., ???",28 (39%),42 ± 10,Na,40 (55%),37 ± 14,Na,Decreased parietal and increased cerebellum ALFF,ALFF
"Sarappa et al., ???",28 (39%),42 ± 10,Na,40 (55%),37 ± 14,Na,Decreased cerebellum and increased frontotemporal ReHo,ReHo
