ROI Name,Abbreviation,ROI Name.1,Abbreviation.1
Dorsal auditory area‐Right,AUDd‐R,Medial septal nucleus‐Right,MS‐R
Posterior auditory area‐Right,AUDpo‐R,Orbital area medial part‐Left,ORBm‐L
CA1 of the hippocampus‐Right,CA1‐R,Orbital area medial part‐Right,ORBm‐R
CA1 of the hippocampus‐Left,CA1‐L,Piriform area‐Right,PIR‐R
Caudoputamen‐Right,CP‐R,Retrosplenial area‐Left,RSP‐L
Entorhinal area‐Left,ENT‐L,Retrosplenial area‐Right,RSP‐R
Fimbria of the hippocampus‐Right,FI‐R,Paraventricular nucleus of the thalamus‐Left,PVT‐L
Fimbria of the hippocampus‐Left,FI‐L,Paraventricular nucleus of the thalamus‐Right,PVT‐R
Medial amygdalar nucleus‐Left,MEA‐L,Superior colliculus motor related‐Left,SCm‐L
Medial geniculate complex‐Right,MG‐R,Primary somatosensory area mouth‐Left,SSpm‐L
Medial mammillary nucleus‐Left,Mm‐L,Tuberomammillary nucleus‐Right,TM‐R
Secondary motor area‐Left,Mos‐L,Anterolateral visual‐area‐Right,VISa‐R
Midbrain reticular nucleus‐Right,MRN‐R,Primary visual area‐Right,VISp‐R
Medial septal nucleus‐Left,MS‐L,Zona incerta‐Right,ZI‐R
