Unnamed: 0,Con + V,Iso + V,Iso + D,F,p
PH,7.40 ± 0.03,7.38 ± 0.02,7.39 ± 0.03,0.514,0.601
PCO2 (mmHg),37.69 ± 3.34,38.26 ± 3.04,39.16 ± 2.61,0.968,0.388
PO2 (mmHg),157.63 ± 24.66,155.50 ± 9.81,154.37 ± 14.11,0.141,0.869
HCO3− (mmol/L),20.69 ± 1.80,20.93 ± 1.51,20.61 ± 1.35,0.216,0.806
SO2 (%),98.75 ± 0.46,98.63 ± 0.50,98.50 ± 0.51,0.833,0.441
Na+ (mmol/L),146.88 ± 2.42,145.88 ± 3.68,146.50 ± 2.75,0.343,0.711
K+ (mmol/L),3.18 ± 0.41,3.36 ± 0.32,3.24 ± 0.24,1.302,0.282
Ca2+(mmol/L),1.31 ± 0.07,1.33 ± 0.04,1.29 ± 0.07,2.03,0.143
Glu (mg/dl),333.50 ± 65.29,339.25 ± 48.73,332.63 ± 59.00,0.068,0.935
Hct (%),42.88 ± 2.30,42.13 ± 2.60,42.13 ± 1.94,0.375,0.69
Hb (g/dl),14.28 ± 0.75,14.71 ± 0.69,14.41 ± 0.61,1.493,0.236
