Regions,Graph analysis properties,HC,Candidates for DBS,Non-candidates,p: Non-candidates vs HC,p: Candidates for DBS vs HC,p: Candidates for DBS vs Non-candidates,"p: for linear trend, Candidates for DBS","p: for linear trend, Non-candidates",p: for differential trend between PD groups
Global,Nodal strength,4.03 ± 0.94 (2.48–7.57),4.36 ± 0.85 (2.68–6.40),4.12 ± 0.86 (2.86–7.28),1.0,0.68,0.94,0.002,0.15,0.003
,Path length,6.71 ± 1.12 (4.06–9.98),6.32 ± 1.00 (4.33–8.35),6.66 ± 0.97 (4.12–8.44),1.0,0.68,0.75,0.01,1.0,0.64
,Local efficiency,0.26 ± 0.05 (0.16–0.46),0.30 ± 0.05 (0.20–0.43),0.28 ± 0.05 (0.20–0.42),0.87,0.11,0.66,0.004,0.15,<0.001
,Clustering coefficient,0.16 ± 0.03 (0.09–0.30),0.18 ± 0.03 (0.11–0.26),0.17 ± 0.03 (0.11–0.27),0.94,0.19,0.92,0.01,0.14,0.001
Sensorimotor,Nodal strength,5.87 ± 1.67 (2.53–10.35),6.05 ± 1.66 (2.51–11.57),6.19 ± 1.95 (2.59–14.33),1.0,1.0,1.0,0.03,1.0,0.17
,Path length,5.97 ± 1.23 (3.40–9.53),6.33 ± 2.94 (3.59–9.30),6.04 ± 1.07 (3.01–8.77),1.0,0.7,1.0,1.00,0.9,1.00
,Local efficiency,0.31 ± 0.08 (0.16–0.51),0.33 ± 0.09 (0.15–0.53),0.35 ± 0.11 (0.14–0.70),0.16,0.99,1.0,0.052,0.76,0.34
,Clustering coefficient,0.18 ± 0.05 (0.09–0.30),0.19 ± 0.06 (0.07–0.38),0.20 ± 0.08 (0.07–0.50),0.12,1.0,1.0,0.27,0.69,0.78
Frontal insular,Nodal strength,3.90 ± 0.97 (2.35–7.49),3.96 ± 0.88 (2.22–6.37),3.87 ± 0.89 (2.34–7.34),1.0,1.0,1.0,0.03,0.16,0.01
,Path length,6.64 ± 1.14 (4.00–9.73),6.41 ± 1.07 (4.67–10.30),6.59 ± 0.99 (4.02–9.84),1.0,1.0,1.0,0.01,1.0,0.11
,Local efficiency,0.26 ± 0.05 (0.17–0.45),0.27 ± 0.05 (0.17–0.39),0.26 ± 0.05 (0.17–0.46),1.0,1.0,1.0,0.01,0.08,0.003
,Clustering coefficient,0.17 ± 0.04 (0.10–0.30),0.17 ± 0.04 (0.10–0.26),0.16 ± 0.04 (0.11–0.31),1.0,1.0,1.0,0.02,0.07,0.004
Temporal,Nodal strength,2.94 ± 0.77 (1.63–5.65),3.40 ± 0.73 (1.61–4.49),3.05 ± 0.80 (1.72–5.92),1.0,0.09,0.33,<0.001,0.39,0.001
,Path length,7.26 ± 1.28 (4.51–10.60),6.47 ± 1.06 (5.49–10.94),7.11 ± 1.13 (4.40–10.04),1.0,0.06,0.18,0.001,1.0,0.03
,Local Efficiency,0.27 ± 0.06 (0.16–0.46),0.30 ± 0.06 (0.15–0.43),0.28 ± 0.07 (0.16–0.65),0.65,0.06,0.59,0.01,0.31,0.002
,Clustering coefficient,0.18 ± 0.05 (0.10–0.34),0.20 ± 0.04 (0.10–0.27),0.18 ± 0.06 (0.09–0.44),0.94,0.16,0.81,0.01,0.25,0.002
Parietal,Nodal strength,5.56 ± 1.54 (3.12–10.97),5.80 ± 1.58 (3.31–8.86),5.61 ± 1.48 (3.15–10.65),1.0,1.0,1.0,0.09,0.37,0.08
,Path length,5.82 ± 1.01 (3.42–8.53),5.70 ± 0.95 (3.69–7.79),5.85 ± 1.00 (3.37–8.30),1.0,1.0,1.0,0.07,1.0,0.32
,Local efficiency,0.29 ± 0.07 (0.19–0.53),0.30 ± 0.07 (0.19–0.48),0.29 ± 0.06 (0.17–0.50),1.0,1.0,1.0,0.10,0.45,0.06
,Clustering coefficient,0.16 ± 0.04 (0.09–0.31),0.17 ± 0.46 (0.10–0.27),0.16 ± 0.04 (0.09–0.30),1.0,1.0,1.0,0.24,0.54,0.14
Occipital,Nodal strength,3.99 ± 1.24 (1.76–8.23),5.31 ± 1.59 (2.66–8.37),4.48 ± 1.36 (2.23–8.94),0.38,0.001,0.06,0.13,0.19,0.048
,Path length,6.67 ± 1.38 (3.84–11.55),5.84 ± 0.97 (4.38–7.90),6.38 ± 1.12 (3.70–9.15),1.0,0.06,0.33,0.003,1.0,0.04
,Local efficiency,0.33 ± 0.09 (0.15–0.65),0.42 ± 0.11 (0.27–0.65),0.36 ± 0.10 (0.18–0.73),0.48,0.001,0.06,0.67,0.24,0.04
,Clustering coefficient,0.21 ± 0.07 (0.09–0.44),0.27 ± 0.09 (0.15–0.45),0.23 ± 0.07 (0.10–0.50),0.55,0.01,0.11,0.14,0.41,0.09
Basal ganglia,Nodal strength,4.13 ± 1.14 (2.10–8.61),4.25 ± 1.37 (2.21–7.42),4.02 ± 1.23 (2.24–8.90),1.0,1.0,1.0,1.00,0.04,0.32
,Path length,7.00 ± 1.19 (4.12–10.08),6.69 ± 1.09 (4.74–10.83),7.11 ± 1.27 (4.27–9.64),1.0,1.0,0.6,0.54,0.76,0.27
,Local efficiency,0.20 ± 0.04 (0.12–0.34),0.20 ± 0.05 (0.13–0.41),0.21 ± 0.06 (0.11–0.45),1.0,0.6,1.0,1.00,0.03,0.15
,Clustering coefficient,0.10 ± 0.03 (0.05–0.17),0.10 ± 0.03 (0.06–0.21),0.10 ± 0.03 (0.05–0.22),1.0,0.97,1.0,1.00,0.02,0.20
