EC/EOleft/right,Intra- andinter-scanner,Number of components,X,ICCY,Z,Average
EO left SMN,V1 vs. V2,20,0.08,0.72,0.59,0.46
,,30,0.27,0.31,0.51,0.36
,,40,0.69,0.59,0.87,0.72
,V1 vs. V3,20,< 0,0.57,< 0,0.19
,,30,0.67,0.24,0.37,0.43
,,40,0.05,0.43,< 0,0.16
,V2 vs. V3,20,< 0,0.67,< 0,0.22
,,30,< 0,< 0,< 0,0.0
,,40,< 0,0.21,< 0,0.07
EO right SMN,V1 vs. V2,20,< 0,0.08,< 0,0.03
,,30,0.47,0.41,0.52,0.47
,,40,0.62,0.81,0.76,0.73
,V1 vs. V3,20,0.13,0.01,< 0,0.05
,,30,0.59,< 0,0.08,0.22
,,40,< 0,0.23,< 0,0.08
,V2 vs. V3,20,< 0,< 0,0.23,0.08
,,30,< 0,< 0,< 0,0.0
,,40,< 0,0.41,< 0,0.14
EC left SMN,V1 vs. V2,20,0.34,0.65,0.51,0.5
,,30,0.71,0.57,0.76,0.68
,,40,0.77,0.64,0.75,0.72
,V1 vs. V3,20,< 0,< 0,< 0,0.0
,,30,< 0,0.18,< 0,0.06
,,40,0.19,0.26,0.26,0.24
,V2 vs. V3,20,0.27,< 0,< 0,0.09
,,30,< 0,0.51,< 0,0.17
,,40,< 0,0.65,0.23,0.29
EC right SMN,V1 vs. V2,20,0.77,0.69,0.73,0.73
,,30,0.69,0.72,0.52,0.64
,,40,0.83,0.76,0.80,0.8
,V1 vs. V3,20,0.39,< 0,< 0,0.13
,,30,< 0,0.31,< 0,0.1
,,40,0.19,0.57,0.41,0.39
,V2 vs. V3,20,0.06,< 0,< 0,0.02
,,30,< 0,0.65,< 0,0.22
,,40,0.49,0.40,0.04,0.31
