Subject ID,EO_left SMN,EO_right SMN,EC_left SMN,EC_right SMN
Sub001,4.0,16.0,45,0
Sub002,42.0,54.0,0,0
Sub003,0.0,22.0,3,7
Sub004,28.0,3.0,25,4
Sub005,45.0,46.0,52,26
Sub006,77.0,31.0,24,3
Sub007,5.0,69.0,42,10
Sub008,7.0,0.0,64,77
Sub009,33.0,14.0,3,31
Sub011,0.0,23.0,-,-
Sub012,14.0,7.0,4,11
Sub013,38.0,43.0,30,7
Sub014,47.0,42.0,54,35
Sub015,55.0,21.0,28,0
Sub016,22.0,3.0,23,85
Sub017,59.0,64.0,22,18
Sub018,5.0,0.0,34,57
Sub019,35.0,20.0,21,0
Sub020,83.0,82.0,5,0
Sub021,71.0,61.0,54,40
Mean,33.5,31.05,28.05,21.63
STD,26.41,25.13,19.75,26.50
