F#,Feature,Detail
1.0,FC_2_19 (R.VTA–L.ACC),FC between R. Ventral Tegmental Area and L. Anterior Cingulate Cortex
2.0,FC_3_23 (L.NAc–L.PCC),FC between L. Nucleus Accumbens and L. Posterior Cingulate Cortex
3.0,FC_6_11 (R.Amg–L.Pal),FC between R. Amygdala and L. Pallidum
4.0,FC_6_7 (R.Amg–L.Hip),FC between R. Amygdala and L. Hippocampus
5.0,FC_8_31 (R.Hip–L.DLP),FC between R. Hippocampus and L. Dorsolateral Prefrontal Cortex
6.0,FC_9_12 (L.Cdt–R.Pal),FC between L. Caudate and R. Pallidum
7.0,FC_9_13 (L.Cdt–L.Tha),FC between L. Caudate and L. Thalamus
8.0,FC_9_18 (L.Cdt–R.PHG),FC between L. Caudate and R. Parahippocampal Gyrus
9.0,FC_9_23 (L.Cdt–L.PCC),FC between L. Caudate and L. Posterior Cingulate Cortex
10.0,FC_9_27 (L.Cdt–L.Ang),FC between L. Caudate and L. Angular Gyrus
11.0,FC_12_24 (R.Pal–R.PCC),FC between R. Pallidum and R. Posterior Cingulate Cortex
12.0,FC_13_14 (L.Tha–R.Tha),FC between L. Thalamus and R. Thalamus
13.0,FC_13_34 (L.Tha–R.Ptm),FC between L. Thalamus and R. Putamen
14.0,FC_16_20 (R.Ins–R.ACC),FC between R. Insula and R. Anterior Cingulate Cortex
15.0,FC_17_31 (L.PHG–L.DLP),FC between L. Parahippocampal Gyrus and L. Dorsolateral Prefrontal Cortex
16.0,FC_20_24 (R.ACC–R.PCC),FC between R. Anterior Cingulate Cortex and R. Posterior Cingulate Cortex
17.0,FC_20_26 (R.ACC–R.OFC),FC between R. Anterior Cingulate Cortex and R. Orbitofrontal Cortex
18.0,FC_20_31 (R.ACC–L.DLP),FC between R. Anterior Cingulate Cortex and L. Dorsolateral Prefrontal Cortex
19.0,FC_21_24 (L.MCC–R.PCC),FC between L. Middle Cingulate Cortex and R. Posterior Cingulate Cortex
20.0,FC_22_33 (R.MCC–L.Ptm),FC between R. Middle Cingulate Cortex and L. Putamen
21.0,FC_28_29 (L.Ang–L.SPL),FC between L. Angular Gyrus and L. Superior Parietal Lobule
22.0,ExcMovMade_All,Overall excess moves beyond the minimum moves required to solve the puzzle
23.0,AvgPicTime_All,Overall average pickup time to solve the puzzle
24.0,AvgTotTime_All,Overall average total time to solve the puzzle
25.0,TotTrlTime_All,Overall total trial time within each puzzle type
26.0,AvgTrlTime_All,Overall average trial time across trials per puzzle type
27.0,TotCor_Fw,Total number of correctly performed trials in forward sequence
28.0,TotCor_Bw,Total number of correctly performed trials in backward sequence
29.0,Span_Fw,Maximum span or sequence-length achieved in forward sequence
30.0,Span_Bw,Maximum span or sequence-length achieved in backward sequence
31.0,TotAvgTime_Fw,Total average time taken across all trials performed in forward sequence
32.0,TotAvgTime_Bw,Total average time taken across all trials performed in backward sequence
33.0,TotCorAvgTime_Fw,Total correct average time taken across all correct trials in forward sequence
34.0,TotCorAvgTime_Bw,Total correct average time taken across all correct trials in backward sequence
35.0,BIS_AI,"Barratt Impulsiveness Scale, Attentional Impulsivity Score"
36.0,BIS_MI,"Barratt Impulsiveness Scale, Motor Impulsivity Score"
37.0,BIS_NP,"Barratt Impulsiveness Scale, Non-planning Impulsivity Score"
