ROI,Brain Region,Notation,Location,MNI Coordinates,MNI Coordinates,MNI Coordinates
ROI,Brain Region,Notation,Location,X,Y,Z
1,L. Ventral Tegmental Area,L.VTA,Subcortical,−4,−16,−14
2,R. Ventral Tegmental Area,R.VTA,Subcortical,4,−16,−14
3,L. Nucleus Accumbens,L.NAc,Subcortical,−8,10,−10
4,R. Nucleus Accumbens,R.NAc,Subcortical,8,10,−10
5,L. Amygdala,L.Amg,Subcortical,−24,−2,−14
6,R. Amygdala,R.Amg,Subcortical,24,−2,−14
7,L. Hippocampus,L.Hip,Subcortical,−28,−10,−22
8,R. Hippocampus,R.Hip,Subcortical,28,−10,−22
9,L. Caudate,L.Cdt,Subcortical,−13,15,9
10,R. Caudate,R.Cdt,Subcortical,13,15,9
11,L. Pallidum,L.Pal,Subcortical,−18,−2,−4
12,R. Pallidum,R.Pal,Subcortical,18,−2,−4
13,L. Thalamus,L.Tha,Subcortical,−8,−12,6
14,R. Thalamus,R.Tha,Subcortical,8,−12,6
15,L. Insula (anterior),L.Ins,Subcortical,−30,17,−15
16,R. Insula (anterior),R.Ins,Subcortical,30,17,−15
17,L. Parahippocampal Gyrus,L.PHG,Cortical,−24,−39,−12
18,R. Parahippocampal Gyrus,R.PHG,Cortical,27,−39,−12
19,L. Anterior Cingulate Cortex,L.ACC,Cortical,−6,44,10
20,R. Anterior Cingulate Cortex,R.ACC,Cortical,6,44,10
21,L. Mid-Cingulate Cortex,L.MCC,Cortical,−6,2,40
22,R. Mid-Cingulate Cortex,R.MCC,Cortical,6,2,40
23,L. Posterior Cingulate Cortex,L.PCC,Cortical,−6,−46,30
24,R. Posterior Cingulate Cortex,R.PCC,Cortical,6,−46,30
25,L. Orbitofrontal Cortex,L.OFC,Cortical,−32,42,−16
26,R. Orbitofrontal Cortex,R.OFC,Cortical,32,42,−16
27,L. Angular Gyrus,L.Ang,Cortical,−45,−58,30
28,R. Angular Gyrus,L.Ang,Cortical,45,−58,30
29,L. Superior Parietal Lobule,L.SPL,Cortical,−24,−68,56
30,R. Superior Parietal Lobule,R.SPL,Cortical,24,−68,56
31,L. Dorsolateral PFC,L.DLP,Cortical,−44,38,19
32,R. Dorsolateral PFC,R.DLP,Cortical,44,38,19
33,L. Putamen,L.Ptm,Subcortical,−27,5,−6
34,R. Putamen,R.Ptm,Subcortical,27,5,−6
