Unnamed: 0,Acute phase (n = 54),Follow-up phase (n = 30)
Age,71.9 ± 11.8 years,73.3 ± 10.4 years
Sex (females),46 %,47 %
Mean Framewise Translation,0.22 ± 0.13 mm,0.24 ± 0.12 mm
Mean Framewise Rotation,0.002 ± 0.001 rad,0.002 ± 0.001 rad
Time since stroke,2.5 ± 1.5 days,210 ± 57 days
"Acute: modified Rankin Scale (median, interquartile range, only patients with an initial deficit)",2.0 (2.0) (n = 24),1.0 (1.5) (n = 15)
"Acute: MI UL affected arm (median, interquartile range, only patients with an initial deficit)",25.33 (6.67) (n = 28),25.33 (4.33) (n = 17)
"Follow-up: MI UL affected arm (median, interquartile range, only patients with an initial deficit)",–,33.0 (7) (n = 17)
"Normalized lesion volume (median, interquartile range)",2240 mm3 (4768),4048 mm3 (10 020)
