Unnamed: 0,Controls (n = 10),SVD (n = 15),Group test
Age – years (SD),67.67 (2.92),65.33 (13.22),p = 0.5
Male sex (%),9 (90.00%),10 (66.67%),p = 0.4
ethnicity,"8 – white british, 2 – white any other background","10 – white british, 4 – white any other background, 1 black caribbean",
Hypercholesterolaemia (%),5 (50.00%),8 (53.33%),p = 1
Diabetes mellitus (%),0 (0.00%),2 (13.33%),p = 0.7
Years of education (SD),12.5 (3.5),12.0 (3.0),p = 0.64
Mini Mental State Exam (SD),29.3 (0.8),27.6 (3.0),p = 0.098
Hypertension (%),3 (30.00%),11 (73.33%),p = 0.084
Body mass index - kg/m2 (SD),25.30 (2.74),28.61 (4.14),p = 0.057
Smoking: Current (%),1 (10.00%),3 (20.00%),p = 0.7
Smoking: Ex (%),3 (30.00%),5 (33.33%),–
Modified Rankin scale (%) 0,10 (100.00%),5 (33.33%),p = 0.011
1,0 (0.00%),5 (33.33%),–
2,0 (0.00%),1 (6.67%),–
3,0 (0.00%),4 (26.67%),–
