Unnamed: 0_level_0,Controls,Controls,Earthquake witnesses,Earthquake witnesses
Unnamed: 0_level_1,Mean,SD,Mean,SD
Self-report measures,Self-report measures,Self-report measures,Self-report measures,Self-report measures
ISI,4.52,3.1,5.06,3.15
IUS-12,32.52,10.4,44.22,11.7
URS-total score,121.61,12.9,131.06,14.9
URS-emotional uncertainty,27.43,6.5,34.17,8.8
URS-desire for control,45.52,6.2,44.67,8.7
URS-cognitive uncertainty,48.43,8.3,52.5,9.6
STAI-2,38.52,8.2,40.06,6.4
BDI,5.78,4.5,6.89,4.9
ASI-total score,9.35,6.2,16.56,15.9
ASI-physical concerns,2.35,2.3,4.94,6.9
ASI-cognitive concerns,4.13,3.7,5.33,5.8
ASI-social concerns,2.87,3.3,6.28,5.8
EPQ-R-extraversion/introversion,9.22,2.9,7.78,4.1
EPQ-R-neuroticism,4.74,2.8,6.17,3.6
EPQ-R-psychoticism,3.52,1.8,2.5,1.2
Recognition of facial expressions,Recognition of facial expressions,Recognition of facial expressions,Recognition of facial expressions,Recognition of facial expressions
Disgust,0.76,0.1,0.91,0.1
Happiness,0.98,0.1,1,0.2
Fear,0.64,0.1,0.76,0.1
Anger,0.77,0.2,0.97,0.2
Surprise,0.91,0.2,0.99,0.2
Sadness,0.71,0.1,0.77,0.2
