RS-fmri metric,Brain region,Cluster size,T-scores,Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,Control Mean ± SD,HIV Mean ± SD,P value
RS-fmri metric,Brain region,Cluster size,T-scores,X,Y,Z,Control Mean ± SD,HIV Mean ± SD,P value
ALFF,L Middle temporal,36,4.29,−60,−21,−6,1.31 ± 0.25,1.03 ± 0.16,<0.001
ALFF,L Precentral,37,3.80,−57,0,33,1.15 ± 0.20,0.91 ± 0.13,<0.001
ALFF,L Postcentral,79,5.22,−39,−27,42,1.28 ± 0.27,0.99 ± 0.18,<0.001
FC-Seed region-1,R Inferior Parietal,43,3.9,63,−42,21,0.084 ± 0.184,−0.138 ± 0.147,<0.001
FC-Seed region-1,L Postcentral,236,4.8,−21,−45,69,0.003 ± 0.129,−0.227 ± 0.163,<0.001
FC-Seed region-2,R Vermis,105,4.1,0,−51,−33,0.046 ± 0.104,−0.156 ± 0.181,<0.001
FC-Seed region-2,R Precuneus,61,−4.6,18,−39,3,−0.147 ± 0.113,0.041 ± 0.130,<0.001
FC-Seed region-2,L Middle Frontal,41,−3.9,−36,27,30,−0.112 ± 0.180,0.124 ± 0.233,0.001
FC-Seed region-3,R Middle Temporal,137,4.9,60,−33,−9,0.012 ± 0.125,−0.204 ± 0.134,<0.001
FC-Seed region-3,R Superior Parietal,91,−4.2,24,−54,57,0.058 ± 0.201,0.299 ± 0.157,<0.001
