Structure name,Cluster size,Peak Z-value,MNI coordinates [x y z]
RUM > ABS contrast,RUM > ABS contrast,RUM > ABS contrast,RUM > ABS contrast
L-Precuneus∗,613,6.43,-4 -58 32
L-Precuneus∗,613,6.30,-8 -52 28
R-Precuneus∗,613,6.13,6 -52 26
L-Superior frontal gyrus,31,5.30,-2 56 38
,2,5.02,-18 40 38
R-Frontal pole,11,5.16,4 56 10
L-Paracingulate gyrus,26,5.08,-6 52 8
L-Frontal pole,7,5.03,-4 62 25
,4,4.90,-12 44 50
Middle cingulate cortex,2,4.76,0 -18 36
R-Superior frontal gyrus,1,4.83,6 52 28
ABS > RUM contrast,ABS > RUM contrast,ABS > RUM contrast,ABS > RUM contrast
L-Frontal pole,315,7.18,-46 40 12
R-Middle temporal gyrus,108,6.57,60 -56 -6
L-Middle temporal gyrus∗,372,6.49,-54 -56 -6
L-Inferior temporal gyrus∗,372,6.33,-50 -60 -14
L-Supramarginal gyrus,326,6.47,-50 -42 50
R-Frontal pole,179,6.22,48 38 4
R-Middle frontal gyrus∗,219,5.76,50 14 34
R-Inferior frontal gyrus∗,219,5.73,46 10 18
L-Middle frontal gyrus,33,5.43,-50 10 32
L-Superior parietal lobule,21,5.24,-30 -54 38
R-Middle frontal gyrus,80,5.20,40 4 58
R-Supramarginal gyrus,23,5.19,44 -40 50
L-Precentral gyrus,13,5.11,-40 2 24
