Dataset,Number of subjects,Females (%),Age range,Eyes condition,Manufacturer,Model,Headcoil,Field strength,Echo time (TE) [ms],Repetition time (TR) [s],Acquisition time (min:s),Number of time points,Voxels (mm3)
CoRR-BNU3,H-48,50,18–30,2,Siemens,TrioTim,12 channel,3T,30,2,8:06,240,3.5 × 3.5 × 3.5
CoRR-HNU1,H-30,50,20–30,1,GE,Discovery MR750,8 channel,3T,30,2,10:00,300,3.4 × 3.4 × 3.4
CoRR-IPCAS1,H-30,70,18–24,1,Siemens,TrioTim,8 channel,3T,30,2,6:54,205,4 × 4 × 4
CoRR-IPCAS3,H-34,65,18–25,1,Siemens,TrioTim,8 channel,3T,30,2,6:00,180,3.4 × 3.4 × 3
CoRR-IPCAS4,H-20,50,21–28,1,GE,Discovery MR750,8 channel,3T,30,2,6:04,180,3.5 × 3.5 × 3.5
CoRR-MRN1,H-39,59,18–49,1,Siemens,TrioTim,12 channel,3T,29,2,5:04,150,3.8 × 3.8 × 3.5
CoRR-NYU2,H-81,36,18–48,3,Siemens,Allegra,1 channel,3T,15,2,6:00,180,3 × 3 × 4
CoRR-Utah1,H-16,0,18–39,2,Siemens,TrioTim,12 channel,3T,28,2,8:06,240,3.4 × 3.4 × 3
CoRR-Utah2,H-1,0,39,2,Siemens,TrioTim,12 channel,3T,28,2,8:06,240,3.4 × 3.4 × 3
UCLA,H-130 ADHD-43 BD-49 SCZ-50,43,21–50,3,Siemens,TrioTim,,3T,30,2,5:04,152,3 × 3 × 4
COBRE,H-74 SCZ-55,25,18–50,1,Siemens,TrioTim,,3T,29,2,5:04,150,3.75 × 3.75 × 4.55
