Unnamed: 0_level_0,HC,ASD,SZ,sig,Post-Hoc
Unnamed: 0_level_1,(N = 34),(N = 32???),(N = 33),sig,Post-Hoc
Sex M/F (M%),23/11 (67.6%),28/4 (87.5%),25/8 (75.8%),p = .160,N.A.
Age mean (SE),23.74 (0.61),23.53 (0.70),24.82 (0.49),p = .281,N.A.
Head motion mean (SE),0.08 (0.005),0.10 (0.007),0.11 (0.011),p = .034,HC < SZ???
ADOS-T mean (SE),1.61 (0.23),9.67 (0.45),8.42 (1.00),p < .001,HC < ASD???HC < SZ???
PANSS-T mean (SE),N.A.,52.29 (1.75),63.79 (2.05),p < .001,ASD < SZ???
Positive mean (SE),N.A.,11.39 (0.47),14.70 (0.73),p = .001,ASD < SZ???
Negative mean (SE),N.A.,15.29 (0.81),19.00 (1.17),p = .015,ASD < SZ???
General mean (SE),N.A.,25.61 (1.06),30.09 (1.00),p = .003,ASD < SZ???
