Studies:,Stimulated Target,Stimulated Network:,Targeting Approach,Active,Active,Control condition,Control condition,Control condition,Active vs. Control,Active vs. Control
Studies:,Stimulated Target,Stimulated Network:,Targeting Approach,direction,location,Type,direction,location,direction,location
5Hz,,,,,,,,,,
???,L-M1,SM,Hot Spot,+,In and Out (all),Flipped coil,−,In and Out (all),Higher with active,Out (DM)
"(???, ???)",L-DLPFC,FL,Scalp measurement,,,,,,,
10Hz,,,,,,,,,,
???,B-DMPFC,FL,Talairach Coordinates,,,,,,,
???,B-DMPFC,FL,Talairach Coordinates,,,,,,,
???,L-DLPFC,FL,i-fMRI,,,Spacer,,,Ø,
???,L-DLPFC,FL,Scalp measurement,,,Sham coil,,,Greater reduction with active,Out (O)
???,L-DLPFC,FL,Scalp measurement,−,In,Sham coil,Ø,,Greater decrease with active,Out (O)
Salomons et al. (2014),B-DMPFC,FL,Talairach Coordinates,,,,,,,
Taylor et al. (2018),L-DLPFC,FL,i-fMRI,,,,,,Ø,
???,L-DLPFC,FL,MNI coordinates,+,"Out (VA, DM, O)",Control Site,Ø,,,
???,Ipsilesional M1,SM,Hot Spot,Ø,,,,,,
Liston et al. (2014),L-DLPFC,VA,Scalp measurement,+,In and Out (DM),,,,,
???,R-pSTG,VA,Scalp measurement,+,Out (O),Control site,,,Higher with active,"Out (O, FL)"
???,L-DLPFC,Left FPN,i-fMRI,−,Out (Salience Network),Flipped coil,Ø,,,
,R-DLPFC,Right FPN,i-fMRI,+,Out (Salience Network),Flipped coil,Ø,,,
???,L-DLPFC,Central Executive,Connectivity-based,+,"In and Out (Anterior and Posterior DMN, Salience Network)",,,,,
20Hz,,,,,,,,,,
???,L-lPC,DM,Connectivity-based,+,Out (V),Low Intensity,−,In,Higher with active,Out
???,L-DLPFC,FL,MRI,,,Flipped coil,,,,
???,L-DLPFC,FL,MNI coordinates,Ø,,Flipped coil,Ø,,,
???,L-DLPFC,FL,MNI coordinates,+,"Out (DM, L)",Flipped coil,Ø,,Higher with active,Out (O)
???,L-M1,SM,Unspecified,Ø iTBS,,Flipped coil,Ø,,,
???,L-DLPFC,FL,MRI,,,Sham coil,,,,
???,L-IFG,FL,MNI coordinates,Ø,,Sham coil,,,,
???,L-M1,SM,Hot Spot,+,In and Out (VA),Flipped over control site,,,Higher with active,"In & Out (SM,VA)"
???,Ipsilesional M1,SM,Hot Spot,Ø,,Flipped over control site,Ø,,Ø,
eQPS,,,,,,,,,,
???,L-M1,SM,Hot Spot,−,"Out (DM, FL, L, V)",,,,,
