Top-Ranking Regions???,t values???,p-values???,Bottom-Ranking Regions???,t values???.1,p-values???.1
Age Span 0-1,,,,,
Thalamus_R,8.821,<.001,Frontal_Sup_L,−4.658,<.001
Thalamus_L,7.6,<.001,Parietal_Sup_R,−4.043,<.001
Hippocampus_R,7.374,<.001,Occipital_Sup_L,−3.757,<.001
ParaHippocampal_L,7.791,<.001,Insula_L,−4.617,<.001
Hippocampus_L,7.487,<.001,Parietal_Sup_L,−4.103,<.001
ParaHippocampal_R,5.97,<.001,Rolandic_Oper_R,−3.777,<.001
Temporal_Inf_R,6.396,<.001,Rolandic_Oper_L,−4.309,<.001
Temporal_Inf_L,5.894,<.001,Occipital_Sup_R,−5.227,<.001
Fusiform_R,5.914,<.001,Frontal_Mid_Orb_L,−4.056,<.001
Caudate_R,4.068,<.001,Calcarine_L,−5.308,<.001
Fusiform_L,5.698,<.001,Calcarine_R,−5.057,<.001
Frontal_Sup_Orb_R,4.12,<.001,Precuneus_R,−6.865,<.001
Caudate_L,4.127,<.001,Precuneus_L,−6.629,<.001
,,,Cuneus_R,−5.727,<.001
,,,Cuneus_L,−6.794,<.001
,,,Frontal_Mid_Orb_R,−5.898,<.001
,,,Supp_Motor_Area_L,−5.659,<.001
,,,Frontal_Sup_Medial_R,−6.903,<.001
,,,Supp_Motor_Area_R,−7.474,<.001
,,,Cingulum_Ant_L,−7.552,<.001
,,,Frontal_Sup_Medial_L,−9.481,<.001
,,,Cingulum_Ant_R,−9.131,<.001
,,,Paracentral_Lobule_R,−14.473,<.001
,,,Paracentral_Lobule_L,−19.926,<.001
,,,,,
Age Span 1-2,,,,,
Frontal_Sup_Orb_R,7.863,<.001,Postcentral_R,−4.086,<.001
Rectus_R,7.085,<.001,Cingulum_Mid_L,−3.935,<.001
Heschl_L,5.359,<.001,Frontal_Sup_Medial_R,−4.965,<.001
Thalamus_R,5.182,<.001,Parietal_Sup_R,−5.179,<.001
Hippocampus_L,6.878,<.001,Cingulum_Post_R,−3.627,<.001
ParaHippocampal_L,7.531,<.001,Occipital_Inf_L,−3.930,<.001
Thalamus_L,4.46,<.001,Occipital_Mid_R,−5.949,<.001
Frontal_Sup_Orb_L,5.776,<.001,Occipital_Mid_L,−6.786,<.001
Hippocampus_R,6.65,<.001,Frontal_Sup_Medial_L,−5.375,<.001
Temporal_Sup_L,6.743,<.001,Occipital_Sup_R,−6.866,<.001
Frontal_Mid_Orb_R,5.377,<.001,Supp_Motor_Area_L,−7.446,<.001
Temporal_Inf_L,6.827,<.001,Lingual_R,−10.883,<.001
Frontal_Inf_Orb_R,6.725,<.001,Supp_Motor_Area_R,−10.686,<.001
Pallidum_L,3.75,<.001,Lingual_L,−9.988,<.001
Rectus_L,5.099,<.001,Occipital_Sup_L,−10.114,<.001
Frontal_Inf_Orb_L,5.567,<.001,Precuneus_L,−12.132,<.001
SupraMarginal_L,5.377,<.001,Precuneus_R,−11.890,<.001
Temporal_Pole_Sup_L,5.625,<.001,Calcarine_R,−10.706,<.001
Temporal_Inf_R,6.097,<.001,Cuneus_R,−9.259,<.001
Heschl_R,3.634,<.001,Calcarine_L,−12.579,<.001
Frontal_Mid_Orb_L,4.017,<.001,Cuneus_L,−11.836,<.001
Temporal_Sup_R,5.18,<.001,Paracentral_Lobule_R,−18.299,<.001
SupraMarginal_R,4.272,<.001,Paracentral_Lobule_L,−17.877,<.001
Caudate_L,4.033,<.001,Paracentral_Lobule_L,−17.877,<.001
Temporal_Pole_Sup_R,3.698,<.001,Paracentral_Lobule_L,−17.877,<.001
ParaHippocampal_R,4.169,<.001,Paracentral_Lobule_L,−17.877,<.001
Fusiform_L,3.756,<.001,Paracentral_Lobule_L,−17.877,<.001
,,,,,
Age Span 2-4,,,,,
Thalamus_R,4.425,<.001,Occipital_Mid_L,−4.968,<.001
Thalamus_L,4.678,<.001,Occipital_Mid_R,−4.701,<.001
ParaHippocampal_L,4.892,<.001,Calcarine_L,−4.466,<.001
Frontal_Sup_Orb_R,5.237,<.001,Occipital_Sup_R,−6.504,<.001
Frontal_Sup_Orb_L,4.78,<.001,Occipital_Sup_L,−5.737,<.001
Rectus_L,4.208,<.001,Cuneus_R,−6.547,<.001
Temporal_Inf_L,4.207,<.001,Cuneus_L,−7.655,<.001
,,,,,
Age Span 4-6,,,,,
ParaHippocampal_L,5.214,<.001,Lingual_L,−4.986,<.001
Temporal_Pole_Mid_L,4.192,<.001,Occipital_Mid_R,−5.443,<.001
Temporal_Inf_L,5.371,<.001,Calcarine_L,−5.876,<.001
Temporal_Inf_R,4.706,<.001,Cingulum_Ant_R,−5.699,<.001
Temporal_Inf_R,4.706,<.001,Calcarine_R,−4.623,<.001
Temporal_Inf_R,4.706,<.001,Cingulum_Ant_L,−6.093,<.001
Temporal_Inf_R,4.706,<.001,Occipital_Sup_L,−4.935,<.001
Temporal_Inf_R,4.706,<.001,Cuneus_R,−4.945,<.001
Temporal_Inf_R,4.706,<.001,Occipital_Sup_R,−6.914,<.001
Temporal_Inf_R,4.706,<.001,Cuneus_L,−4.977,<.001
