Human networks (???),Anatomical regions,Rat networks,Anatomical regions.1,Mouse networks,Anatomical regions.2
Visual,Visual cortex,Visual areas (???),"Rostral and caudal part of visual cortex, parietal cortex, and retrosplenial cortex","Sensory, visual (???)",Visual cortex and retrosplenial dysgranular
Somatomotor,Motor cortex,Motor (???),"Primary and secondary motor cortex, mammillary nucleus, ventral hypothalamus","Sensory, motor (???)",Motor cortex
,Auditory cortex,Auditory (???),Auditory cortex,"Sensory, auditory (???)",Dorsal and ventral auditory cortex
,Somatosensory cortex posterior insular cortices,Somatosensory (???),"Primary and secondary somatosensory cortex, posterior part of the insular cortex",Somatosensory (???),"Upper lip region, barrel field, hindlimb region, and forelimb region in primary somatosensory cortex"
Limbic,Orbital frontal cortex,Olfactory (???),"Piriform cortex, anterior olfactory nucleus, and olfactory tubercle","Sensory, olfactory (???)","Piriform cortex, medial orbital cortex, and glomerular layer of the olfactory bulb"
,Temporal pole,Limbic (???),"Prelimbic cortex, prelimbic/infralimbic",Limbic system (non-cortical) (???),"Cingulate cortex area 1, 2, and retrosplenial cortex Ventral and dorsal hippocampus, amygdala"
Default,Precuneus posterior cingulate cortex/retrosplenial cortex,Default mode network (DMN) (???; ???),"Cingulate cortex, retrosplenial cortex",DMN (???; ???),"Cingulate cortex, retrosplenial cortex"
,Prefrontal cortex,,"Orbital cortex, prelimbic cortex, association visual cortex",,"Prefrontal and orbito-frontal cortex, prelimbic cortex"
,Parietal and temporal lobes,,"Posterior parietal cortex, auditory/temporal association cortex",,Temporal cortex
,Parahippocampal cortex,,Hippocampus (CA1),,"Ventral-hippocampus, dorsal striatum, dorsolateral nucleus of the thalamus"
Frontoparietal,Parietal and temporal lobes,Lateral cortical network (???),"Anterior secondary motor cortex, secondary sensory, insula",Lateral cortical network (???),"Primary motor, primary somatosensory, lateral striatum, ventroposterior nucleus of the thalamus"
,"Dorsal, lateral, and ventral prefrontal cortex",,,,
,Orbital frontal cortex,,,,
,"Precuneus, cingulate, medial posterior prefrontal cortex",,,,
Dorsal attention,"Posterior, frontal eye fields, precentral ventral",,,,
Salience/ventral attention,"Parietal operculum, temporal occipital, frontal operculum insula, lateral prefrontal cortex, medial nodes",Salience* (???),"Anterior portion of the agranular insular, frontal cortices including the anterior cingulate cortex",Salience* (???; ???),"Anterior insular, dorsal anterior cingulate, ventral striatum/nucleus accumbens"
