Average connectivity of significant clusters in UCPPS patients and healthy controls,Average connectivity of significant clusters in UCPPS patients and healthy controls,Average connectivity of significant clusters in UCPPS patients and healthy controls,Average connectivity of significant clusters in UCPPS patients and healthy controls,Average connectivity of significant clusters in UCPPS patients and healthy controls,Average connectivity of significant clusters in UCPPS patients and healthy controls,Average connectivity of significant clusters in UCPPS patients and healthy controls,Average connectivity of significant clusters in UCPPS patients and healthy controls
Unnamed: 0_level_1,X (mm),Y (mm),Z (mm),Volume (3 mm2),patients (z-score),healthy controls (z-score),p-value/FDR corrected p-value
Cluster name,Cluster name,Cluster name,Cluster name,Cluster name,Cluster name,Cluster name,Cluster name
MNI-sphere,MNI-sphere,MNI-sphere,MNI-sphere,MNI-sphere,MNI-sphere,MNI-sphere,MNI-sphere
,,,,,,,
PAG ROI/midline,3,−27,−15,"24,130",0.12 ± 0.07,0.13 ± 0.07,0.57/0.74
Right medial temporal pole,36,18,−42,44,0.08 ± 0.12,0.09 ± 0.12,0.35/0.74
Left medial temporal pole,−30,12,−42,40,0.09 ± 0.15,0.09 ± 0.13,0.68/0.74
Right precentral gyrus,42,−15,42,21,0.08 ± 0.15,0.09 ± 0.17,0.37/0.74
Right posterior cingulate,21,−39,21,20,−0.07 ± 0.14,−0.09 ± 0.15,0.73/0.74
Right postcentral gyrus,21,−33,60,18,0.08 ± 0.17,0.10 ± 0.17,0.74/0.74
Left calcarine gyrus,−15,−81,12,17,0.08 ± 0.16,0.09 ± 0.19,0.15/0.67
Left postcentral gyrus,−42,−21,39,11,0.07 ± 0.16,0.10 ± 0.18,0.14/0.67
Left inferior frontal gyrus (pars orbitalis),−30,39,−15,8,0.08 ± 0.18,0.08 ± 0.15,0.53/0.74
MNI-trace,MNI-trace,MNI-trace,MNI-trace,MNI-trace,MNI-trace,MNI-trace,MNI-trace
PAG ROI/midline,0,−33,−9,"13,876",0.12 ± 0.09,0.14 ± 0.09,0.14/0.31
Right inferior frontal gyrus (pars triangularis),51,24,30,210,0.06 ± 0.11,0.10 ± 0.12,0.03*/0.13
Left inferior frontal gyrus (pars opercularis),−54,15,33,189,0.06 ± 0.11,0.09 ± 0.13,0.02*/0.13
Left middle frontal gyrus,−24,30,48,158,0.08 ± 0.13,0.10 ± 0.15,0.43/0.57
Right superior temporal gyrus,51,−18,6,151,0.07 ± 0.15,0.10 ± 0.13,0.19/0.36
Right precentral gyrus,45,−15,42,76,0.07 ± 0.14,0.10 ± 0.15,0.09/0.25
Left postcentral gyrus,−42,−21,42,63,0.09 ± 0.13,0.11 ± 0.16,0.26/0.50
Right posterior cingulate,12,−36,18,29,−0.07 ± 0.16,−0.11 ± 0.12,0.05*/0.17
Right superior parietal lobule,45,−48,57,26,0.05 ± 0.16,0.09 ± 0.16,0.07/0.23
Left precentral gyrus,−42,−6,51,18,0.08 ± 0.16,0.09 ± 0.15,0.58/0.64
Left superior frontal gyrus,−24,63,18,17,0.09 ± 0.15,0.09 ± 0.16,0.86/0.86
Right precentral gyrus,21,−30,63,16,0.09 ± 0.20,0.10 ± 0.18,0.71/0.75
Left SMA,0,18,63,13,0.09 ± 0.18,0.11 ± 0.20,0.57/0.64
Right SMA,6,24,66,11,0.05 ± 0.19,0.09 ± 0.17,0.10/0.25
Left inferior frontal gyrus (pars orbitalis),−33,33,−9,10,0.03 ± 0.16,0.09 ± 0.14,0.004**/0.04*
Left inferior parietal lobule,−54,−39,36,7,0.02 ± 0.16,0.08 ± 0.15,0.004**/0.04*
Right superior frontal gyrus,24,63,12,6,0.07 ± 0.20,0.09 ± 0.16,0.40/0.57
Right superior frontal gyrus,18,21,69,6,0.07 ± 0.17,0.09 ± 0.17,0.41/0.57
Right SMA,6,9,75,6,0.09 ± 0.22,0.12 ± 0.22,0.45/0.57
