Parameter(IGE > HC),Brain regions (Harmmers atlas),MNI coordinates,MNI coordinates,MNI coordinates,Cluster size,Peak t-value
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1,Unnamed: 6_level_1
ALFF,Right precentral gyrus,30,−12,63,"2,611",7.1707
,Right superior parietal gyrus,12,−66,36,"3,600",−9.7908
,Right cerebellum,6,−54,−57,439,−7.1295
,Right cerebellum,27,−90,−27,"1,004",−6.6404
lrFCD,Left posterior temporal lobe,−33,−33,−3,98,5.4034
,Right middle and inferior temporal gyrus,42,−24,−21,208,5.2008
,Right inferolateral remainder of parietal lobe,51,−63,21,200,−5.8661
,"Left cingulate gyrus, posterior part",−9,−51,27,567,−5.4741
,Right superior frontal gyrus,12,63,15,302,−5.4282
gFCD,Left superior parietal gyrus,−15,−42,54,717,5.6583
,Left inferolateral remainder of parietal lobe,−36,−66,30,490,−5.2462
,"Left cingulate gyrus, posterior part",−9,−51,27,417,−5.0217
,Right superior frontal gyrus,15,63,15,389,−4.7921
lFCD,Left superior parietal gyrus,−15,−42,54,797,5.8142
,Right superior parietal gyrus,18,−51,21,104,−4.8566
,Left inferolateral remainder of parietal lobe,−60,−51,39,180,−4.2637
