BL,Methods,Time,Accuracy (%),Precision (%),Recall (%)
NCVS.AD,SVM,BL,86.1,83.9,80.0
NCVS.AD,SVM,12 m,87.3,85.5,81.5
NCVS.AD,SVM,24 m,88.5,84.4,83.1
NCVS.AD,CNN,BL,88.5,85.9,84.6
NCVS.AD,CNN,12 m,89.7,87.5,86.2
NCVS.AD,CNN,24 m,91.0,89.1,87.7
NCVS.AD,CNN + LSTM,BL,90.3,88.9,86.2
NCVS.AD,CNN + LSTM,12 m,91.0,87.9,89.2
NCVS.AD,CNN + LSTM,24 m,93.3,91.0,92.3
sMCI VS. pMCI,SVM,BL,68.0,66.7,69.4
sMCI VS. pMCI,SVM,12 m,69.4,68.0,70.8
sMCI VS. pMCI,SVM,24 m,70.1,68.4,72.2
sMCI VS. pMCI,CNN,BL,71.4,69.7,73.6
sMCI VS. pMCI,CNN,12 m,72.1,70.1,75.0
sMCI VS. pMCI,CNN,24 m,73.5,71.4,76.4
sMCI VS. pMCI,CNN + LSTM,BL,74.1,72.4,76.4
sMCI VS. pMCI,CNN + LSTM,12 m,74.8,72.7,77.8
sMCI VS. pMCI,CNN + LSTM,24 m,75.5,73.1,79.2
